HIP,X,Y,Z,Exo,Discorery,Multi,MaxPMass,StarMass,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y1
54887,-63.157,12.76,6.732,0,None,0,0,0,0.2,,0.16,0.12,0.03,0.14,0.24,0.19,0.38,,0.23,,0.07,,,0.31,
54906,-19.002,3.818,9.332,1,Radial Velocity,1,0.0247,0.77,-0.25,-3.46,-0.15,-0.11,-0.29,-0.18,-0.21,-0.21,-0.25,-0.16,-0.16,-0.16,-0.23,-0.34,-0.18,-0.28,-0.26
54908,-67.184,13.499,90.763,0,None,0,0,0,0.05,,-0.16,-0.03,-0.16,-0.08,-0.14,-0.18,0.04,,-0.05,-0.07,0,-0.1,,0.02,0.2
54922,-20.772,4.15,-9.037,0,None,0,0,0,-0.25,,,0.15,-0.02,-0.18,0.2,-0.32,-0.05,,0.3,0.44,-0.09,,0.1,-0.13,
54952,-4.033,0.799,13.858,0,None,0,0,0,-0.16,,,,-0.06,-0.12,-0.06,-0.13,-0.03,0.06,0.02,0.23,-0.03,-0.29,-0.04,-0.1,-0.22
55013,-20.564,4.014,-17.164,0,None,0,0,0,-0.41,-1.58,-0.32,-0.3,-0.35,-0.3,-0.35,-0.36,-0.34,-0.3,-0.27,-0.39,-0.4,-0.58,-0.38,-0.41,-0.35
55016,-106.08,20.685,25.564,0,None,0,0,0,-0.1,,,,,,,0.09,-0.35,-0.08,-0.27,,-0.09,,-0.05,-0.04,
55042,,,,1,Radial Velocity,1,0.03115,0.35,,,,,,,,,,,,,,,,,
55076,-30.255,5.806,81.176,0,None,0,0,0,0.26,,0.26,0.26,0.23,0.18,0.17,0.22,0.26,,0.21,0.16,0.24,0.21,,0.32,0.29
55108,-57.882,10.995,-62.156,0,None,0,0,0,0.18,,0.15,0.14,0.06,0.18,0.12,0.17,0.14,,0.15,0.1,0.16,,0.17,0.2,
55132,-32.623,6.16,-1.149,0,None,0,0,0,-0.05,,-0.26,,0.18,-0.1,0.16,-0.09,0.05,0.71,0.36,0.61,0.04,-0.21,0.14,-0.01,
55174,-101.041,18.821,-45.707,1,Radial Velocity,1,1.964,1.41,0.14,,-0.13,-0.12,0.03,0.05,0.01,0.01,0.03,0.06,0.06,0.14,0.01,0.1,0.19,0.08,0.18
55189,-42.459,7.875,-32.067,0,None,0,0,0,-0.82,-1.16,-0.65,,-0.68,-0.55,-0.86,-0.6,-0.56,-0.46,-0.52,-0.73,-0.82,-1.2,-0.63,-0.8,
55210,-21.605,3.968,-1.948,0,None,0,0,0,-0.22,,-0.14,-0.19,-0.22,-0.14,-0.13,-0.19,-0.16,-0.15,-0.08,-0.15,-0.2,-0.36,-0.17,-0.23,-0.25
55219,-57.866,10.6,38.341,0,None,0,0,0,-0.15,-3.42,-0.53,-0.36,0.36,-0.06,0.03,0.15,-0.2,-0.35,-0.21,-0.31,0,-0.34,-0.15,-0.17,-0.24
55235,-40.741,7.429,-7.396,0,None,0,0,0,0.12,,0.18,-0.1,0.18,0.16,0.15,0.14,0.13,0.19,0.22,0.36,0.15,0.1,0.22,0.16,
55249,-83.187,15.074,2.436,0,None,0,0,0,-0.02,-2.75,-0.24,-0.16,0.16,0.21,0.16,0.13,0.03,-0.03,-0.02,-0.01,0.03,-0.1,0,-0.01,-0.02
55262,-45.126,8.138,10.916,0,None,0,0,0,0.16,-0.55,0.06,0.27,0,0.23,0.14,0.13,0.25,0.99,0.18,0.1,0.2,-0.05,0.34,0.14,0.29
55282,-47.463,8.51,-12.721,0,None,0,0,0,-0.45,-3.54,-0.59,-0.32,-0.29,-0.21,-0.17,-0.12,-0.34,-0.4,-0.42,-0.5,-0.42,-0.62,-0.34,-0.42,-0.54
55363,-32.028,5.62,-11.565,0,None,0,0,0,-0.36,,-0.24,-0.28,-0.37,-0.34,-0.42,-0.36,-0.36,,-0.32,-0.42,-0.46,-0.69,-0.37,-0.42,-0.45
55374,-111.918,19.576,-61.259,0,None,0,0,0,0.1,-3.16,-0.04,-0.02,0.2,0.29,0.29,0.23,0.12,0.21,0.15,0.18,0.16,0.2,0.28,0.16,0.05
55409,-37.98,6.55,-16.532,1,Radial Velocity,1,6.79,1.03,-0.01,-2.44,0.16,0.03,0,0.06,0,0.04,0.07,-0.04,0.04,-0.15,-0.03,-0.14,-0.04,-0.03,
55412,-46.817,8.066,112.468,0,None,0,0,0,0.06,-2.96,0.06,0.29,0.4,0.28,0.44,0.38,0.32,0.35,0.35,0.44,0.35,0.31,0.35,0.34,0.28
55415,-50.046,8.618,-83.535,0,None,0,0,0,-0.28,,,,-0.03,0.01,0.05,-0.07,-0.07,0.1,0.07,0.1,-0.19,-0.43,-0.03,-0.21,
55427,-103.927,17.838,13.068,0,None,0,0,0,0.26,,0.39,0.04,0.52,0.46,0.29,0.36,0.26,0.51,0.32,0.21,0.34,0.28,0.41,0.34,0.4
55455,-47.439,8.056,5.597,0,None,0,0,0,0,,-0.07,0.08,-0.08,-0.07,-0.18,-0.04,0.04,,0.04,-0.05,-0.01,-0.26,,-0.05,0.06
55459,-21.092,3.578,34.89,0,None,0,0,0,0.07,-1.72,0.02,-0.01,-0.06,0.05,0.02,0.01,0.06,0.17,0.08,-0.03,0.03,-0.07,0.06,0.05,0.13
55486,-30.239,5.084,10.076,2,Radial Velocity,1,2.33,0.92,0.35,,0.38,0.15,0.52,0.29,0.43,0.36,0.35,0.53,0.37,0.55,0.33,0.3,0.58,0.48,0.21
55487,-42.765,7.189,-19.48,0,None,0,0,0,0.09,,-0.01,0.05,-0.08,0.03,-0.01,0.09,0.06,,0.1,0.02,0.07,,-0.03,0.04,
55507,,,,1,Radial Velocity,1,8.135,0.65,,,,,,,,,,,,,,,,,
55508,-138.443,23.094,106.102,0,None,0,0,0,-0.21,,-0.25,-0.25,-0.29,-0.19,-0.34,-0.23,-0.16,,-0.13,-0.41,-0.24,-0.45,-0.35,-0.26,-0.11
55509,-131.855,21.993,101.03,0,None,0,0,0,-0.23,,-0.2,-0.37,-0.25,-0.13,-0.19,-0.29,-0.16,,-0.27,-0.58,-0.24,-0.33,-0.33,-0.21,
55549,-70.787,11.625,60.569,0,None,0,0,0,0.2,,,,0.83,0.4,,0.22,0.29,0.77,0.88,0.36,0.74,0.44,1.57,0.46,1.08
55561,-13.425,2.197,60.726,0,None,0,0,0,0,,,,-0.01,0.07,-0.02,0.01,0.08,0.26,0.23,0.21,0.07,0.05,0.17,0.15,-0.12
55598,-44.723,7.211,-15.404,0,None,0,0,0,-0.08,,0.06,0.06,0.02,-0.15,-0.13,-0.08,-0.05,,0.05,,-0.21,,0.03,0.03,
55633,-21.87,3.48,-33.706,0,None,0,0,0,-0.02,,-0.07,,-0.09,-0.02,-0.08,-0.04,-0.06,,-0.01,0.17,-0.01,,-0.04,0.04,
55650,-109.613,17.342,2.727,0,None,0,0,0,-0.02,-2.54,-0.34,-0.18,0.16,0.03,0.08,0.11,0.1,0.01,-0.05,-0.16,0.02,-0.16,-0.02,-0.07,0.04
55664,-54.129,8.503,-1.463,1,Radial Velocity,1,0.474,0.97,0.36,,0.5,0.32,0.47,0.42,0.44,0.34,0.35,0.64,0.46,0.48,0.38,0.45,0.56,0.46,0.26
55666,-48.88,7.662,-5.122,0,None,0,0,0,-0.16,-1.16,0.09,0.11,-0.18,-0.04,-0.21,-0.01,-0.17,,-0.17,-0.34,,-0.41,-0.16,-0.14,
55756,-65.653,9.961,-48.357,0,None,0,0,0,0,-3.2,-0.24,-0.11,0.19,0.19,0.2,0.15,0.16,-0.04,0.02,0.03,0.06,0.01,0.04,0.02,0.05
55761,-29.695,4.5,27.649,0,None,0,0,0,-0.56,-1.21,-0.29,-0.29,-0.65,-0.52,-0.65,-0.45,-0.55,,-0.56,-0.69,,-0.93,-0.59,-0.63,
55797,-58.46,8.749,87.144,0,None,0,0,0,-0.08,-3.02,-0.26,-0.04,-0.01,0.18,0.06,0.05,-0.02,-0.04,-0.06,-0.21,-0.09,-0.18,-0.02,-0.1,-0.04
55805,-100.318,14.958,-28.525,0,None,0,0,0,-1.02,,,-0.49,-1.1,-0.64,-0.99,-0.81,-0.8,-0.9,-0.84,,-1.04,-1.36,,-1.07,-1.11
55806,,,,2,Radial Velocity,1,2.72,0.82,,,,,,,,,,,,,,,,,
55846,-17.939,2.621,0.954,0,None,0,0,0,0.34,-2.57,0.25,0.17,0.36,0.26,0.35,0.3,0.31,0.42,0.32,0.28,0.3,0.31,0.49,0.37,0.28
55848,-17.988,2.626,0.955,2,Radial Velocity,2,0.109,0.85,0.34,-2.72,0.33,0.24,0.41,0.36,0.45,0.31,0.43,0.58,0.28,0.33,0.34,0.33,0.57,0.4,0.1
