HIP,X,Y,Z,Exo,Discorery,Multi,MaxPMass,StarMass,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y1
24665,15.099,80.546,36.503,0,None,0,0,0,0.19,,,,0.19,0.23,0.2,0.16,0.05,0.27,0.14,0.09,,0.08,,0.22,
24679,8.699,46.563,-11.39,0,None,0,0,0,-0.35,-2.74,-0.31,-0.17,-0.35,-0.11,-0.1,-0.18,-0.16,-0.2,-0.12,-0.16,-0.3,-0.38,-0.22,-0.3,-0.09
24681,8.306,44.47,5.838,1,Radial Velocity,6,0.82,1.14,0.15,-1.48,0.25,0.08,0.07,0.15,0.05,0.11,0.14,0.33,0.15,0.09,0.09,0.02,0.31,0.14,0.05
24682,17.222,92.218,-72.293,0,None,0,0,0,-0.3,,,-0.63,-0.44,-0.23,-0.33,-0.29,-0.27,-0.2,-0.31,-0.35,-0.37,-0.45,-0.21,-0.34,-0.45
24727,16.333,88.506,59.281,0,None,0,0,0,-0.38,-3.86,-0.32,-0.18,-0.12,-0.12,0.07,-0.05,-0.2,-0.24,-0.12,-0.08,-0.19,-0.45,-0.19,-0.29,-0.36
24777,7.39,40.579,-10.298,0,None,0,0,0,-0.18,,-0.14,-0.33,-0.12,-0.12,-0.07,-0.17,-0.04,-0.08,0.01,0.08,-0.12,-0.22,-0.13,-0.17,
24783,3.398,18.69,-7.442,0,None,0,0,0,-0.29,,,,-0.04,-0.22,-0.07,-0.28,-0.07,0.53,0.17,0.39,-0.18,-0.57,0.03,-0.21,
24786,4.188,23.067,-7.676,0,None,0,0,0,-0.03,-1.01,0.07,-0.03,-0.04,-0.01,0,-0.04,0.07,0.32,0.02,-0.07,-0.04,-0.22,0.01,-0.06,0.04
24813,1.701,9.441,8.078,0,None,0,0,0,0.12,-1.25,0.13,0.09,0.08,0.16,0.12,0.08,0.13,0.18,0.11,0.06,0.08,0.02,0.15,0.12,0.06
24819,2.776,15.435,-0.842,0,None,0,0,0,-0.17,,,-0.38,-0.34,-0.23,-0.21,-0.3,-0.15,-0.12,0.1,,-0.04,-0.03,-0.1,-0.22,0.04
24822,11.572,64.439,26.58,0,None,0,0,0,0.07,-2.58,-0.15,-0.08,0.19,0.2,0.17,0.2,0.15,0.09,0.1,0.09,0.09,0.07,0.11,0.07,0.16
24829,4.06,22.659,-28.03,0,None,0,0,0,0.11,,,,0.02,0.14,0.04,0.09,0.15,,0.05,,0.04,-0.08,0.18,0.02,0.33
24864,6.466,36.5,1.627,0,None,0,0,0,-0.06,,-0.02,-0.02,-0.19,-0.05,-0.18,-0.06,0.02,,-0.01,-0.02,-0.04,-0.3,,-0.11,0.04
24923,9.355,53.634,11.185,0,None,0,0,0,0.27,,0.1,0.15,0.14,0.18,0.16,0.16,0.22,0.23,0.18,0.22,0.24,0.16,0.2,0.18,0.35
24944,30.904,178.101,-18.433,0,None,0,0,0,0.07,,-0.24,-0.22,-0.18,-0.05,-0.16,-0.17,0.05,,-0.02,-0.04,0.03,-0.02,,0.05,0.37
24968,8.317,48.24,-76.408,0,None,0,0,0,0.12,,0.07,0.07,0.02,0.04,0.22,0.16,0.04,,0.14,0.08,0.11,,0.11,0.13,
25002,5.605,32.802,-8.391,0,None,0,0,0,-0.04,-0.9,-0.24,-0.38,,,,-0.14,,,0.01,-0.24,,,-0.28,-0.09,
25033,19.224,113.803,21.031,0,None,0,0,0,-0.14,,-0.1,-0.1,-0.34,-0.17,-0.27,-0.19,-0.11,,-0.12,-0.05,-0.16,-0.42,,-0.21,-0.03
25092,59.201,356.745,-55.117,0,None,0,0,0,-0.68,,-0.18,-0.24,,,,-0.49,-0.4,,,,,,,,
25094,2.564,15.457,26.364,0,None,0,0,0,0.24,,0.25,0.2,0.17,0.25,0.25,0.22,0.28,,0.2,0.22,0.18,0.18,,0.34,0.16
25110,0.632,3.837,20.446,1,Radial Velocity,1,9.1,1.25,0.08,-1,0.11,,0.12,0.13,0.16,0.16,0.19,0.23,0.16,0.22,0.14,0.03,0.46,0.14,0.03
25119,3.217,19.549,0.901,0,None,0,0,0,-0.1,,-0.11,-0.18,-0.19,-0.09,-0.14,-0.09,-0.03,,-0.11,-0.04,-0.08,-0.22,,-0.09,-0.14
25161,61.015,374.963,-196.943,0,None,0,0,0,-0.2,,,,-0.02,-0.05,-0.14,0.05,-0.05,,-0.04,,-0.26,,,-0.08,
25166,4.912,30.202,32.799,0,None,0,0,0,0.33,,0.44,0.2,0.35,0.26,0.28,0.31,0.3,,0.24,0.27,0.27,0.31,,0.37,0.25
25191,8.873,55.027,-2.217,1,Radial Velocity,1,2.43,0.84,-0.12,,-0.03,-0.17,-0.04,-0.05,-0.05,-0.07,-0.06,-0.06,0,-0.04,-0.1,-0.26,-0.06,-0.11,
25209,21.166,132.051,13.636,0,None,0,0,0,0.02,,,0.17,-0.06,0.06,-0.14,-0.01,0.02,0.18,-0.03,,-0.03,-0.12,0.19,-0.05,0.04
25220,2.194,13.716,4.333,0,None,0,0,0,0,,-0.04,0.16,0.01,-0.01,-0.05,0.09,-0.08,-0.05,0,0,0.05,-0.12,0.16,-0.06,-0.69
25247,8.281,52.204,-7.248,0,None,0,0,0,-0.18,-3.04,-0.28,-0.13,-0.09,-0.03,-0.05,-0.07,-0.11,-0.19,-0.12,-0.23,-0.2,-0.22,-0.15,-0.15,-0.16
25278,2.149,13.736,4.352,0,None,0,0,0,0.09,-0.38,0.02,0.04,0.01,0.08,0.01,0.07,0.1,0.73,0.06,0.03,0.07,-0.1,0.13,-0.01,0.13
25282,9.236,59.119,-0.931,0,None,0,0,0,-0.29,-2.2,-0.26,-0.1,-0.29,-0.11,-0.1,-0.08,-0.14,,-0.14,-0.21,-0.23,,-0.02,-0.15,
25321,4.776,30.998,-21.32,0,None,0,0,0,0.19,,-0.02,0.17,0.12,0.14,0.09,0.13,0.2,,0.18,0.18,0.22,,0.16,0.21,
25388,8.065,53.783,-6.064,0,None,0,0,0,0.06,,0.1,0.09,-0.04,0.1,-0.05,0.03,0.11,0.26,0.08,-0.03,0,-0.13,0.24,0.02,0.11
25414,3.279,22.026,40.576,0,None,0,0,0,0.14,-2.18,0.08,-0.16,,,,0.01,,,-0.4,-0.02,,,0.02,0.26,
25421,2.21,14.897,-9.596,0,None,0,0,0,-0.09,,0.04,-0.04,-0.11,-0.02,-0.03,-0.11,-0.05,0.12,0,0.33,-0.07,-0.17,-0.04,-0.08,-0.12
25429,12.578,84.979,-142.476,0,None,0,0,0,0,-2.48,-0.34,-0.21,0.28,-0.05,0.01,0.08,0.02,0.06,-0.01,0.01,-0.02,-0.09,-0.06,-0.05,0.02
25435,9.066,61.367,4.182,0,None,0,0,0,0.02,,,,0.02,-0.27,-0.38,0.03,0.16,,0.16,-0.11,0,-0.3,-0.05,0.03,
25461,5.54,37.874,-38.343,0,None,0,0,0,-0.06,-0.51,-0.06,-0.05,-0.14,-0.04,-0.19,-0.08,-0.03,0,-0.05,-0.16,-0.05,-0.25,-0.1,-0.12,0.1
25475,13.864,95.194,63.1,0,None,0,0,0,0.2,-2.86,0.06,0.16,0.34,0.3,0.38,0.4,0.14,0.24,0.2,0.2,0.24,0.28,0.38,0.28,0.14
25490,7.198,49.817,-30.925,0,None,0,0,0,-0.12,,-0.04,-0.1,-0.24,-0.15,-0.3,-0.16,-0.08,,-0.06,-0.21,-0.15,-0.39,,-0.16,-0.12
25528,12.977,91.016,-22.205,0,None,0,0,0,-0.41,,,0.23,-0.36,-0.03,-0.26,-0.22,-0.19,-0.04,-0.17,,-0.42,-0.64,-0.07,-0.39,-0.48
25541,17.096,120.303,83.437,0,None,0,0,0,0.09,,,,,,0.05,-0.03,,-0.03,0,-0.03,-0.06,,,-0.09,
25544,1.351,9.506,-16.913,0,None,0,0,0,0.04,-1.69,0.16,,,,,-0.06,-0.04,,0.05,0.01,-0.01,-0.12,0.01,-0.07,
25547,20.164,142.193,-356.79,0,None,0,0,0,-0.22,,-0.2,-0.53,0.04,0.13,-0.04,-0.1,-0.06,,-0.06,-0.59,-0.17,-0.47,-0.34,-0.19,0.5
25580,3.951,28.125,18.987,0,None,0,0,0,0.14,,0.03,0.24,-0.01,0.09,-0.04,0.1,0.17,,0.13,0.07,0.16,-0.05,,0.06,0.16
25606,5.57,39.945,-15.288,0,None,0,0,0,-0.18,-2.78,-0.41,-0.02,0.07,-0.02,,-0.12,-0.05,,-0.04,-0.13,,-0.23,,-0.16,
25612,0.599,4.302,-30.052,0,None,0,0,0,-0.45,,-0.53,,-0.19,-0.45,-0.2,-0.5,-0.22,0.32,-0.1,0.13,-0.38,-0.75,-0.36,-0.48,
25616,4.336,31.198,-13.004,0,None,0,0,0,-0.2,-1.27,-0.13,-0.15,-0.25,-0.11,-0.17,-0.16,-0.11,-0.12,-0.1,-0.27,-0.19,-0.42,-0.21,-0.22,-0.27
25623,1.772,12.785,-0.789,0,None,0,0,0,-0.12,,-0.21,,-0.12,-0.04,0.18,-0.06,-0.07,0.62,0.11,0.46,-0.11,-0.3,0.11,-0.15,-0.66
25654,7.507,54.813,-13.325,0,None,0,0,0,0.1,,0.2,0.39,0.16,0.19,0.47,0.1,0.1,0.18,0.2,0.29,0.09,0.09,0.21,0.14,
25662,3.917,28.654,6.439,0,None,0,0,0,-0.03,,0.26,0.26,-0.11,0.14,-0.14,-0.02,0.2,0.1,0.06,0.13,0.16,-0.05,-0.08,-0.02,0.27
25670,6.349,46.631,-14.775,0,None,0,0,0,0.1,-2.11,0.04,0,0.04,0.11,0.05,0.05,0.11,0.13,0.11,0,0.09,0.02,0.09,0.12,0.16
25709,7.9,58.816,-40.809,0,None,0,0,0,0.16,,-0.16,,-0.08,-0.06,-0.13,0.08,0.13,,0.32,0.22,0.15,,0.05,0.08,
25730,9.209,69.196,38.992,0,None,0,0,0,0.23,-0.17,-0.18,0.06,,0.3,0.39,0.37,0.25,,,,-0.04,,,,
25806,12.659,98.554,41.081,0,None,0,0,0,0.14,-3.29,-0.03,0.04,0.24,0.29,0.36,0.29,0.23,0.21,0.25,0.37,0.22,0.1,0.22,0.25,0.24
25840,5.094,40.041,-7.176,0,None,0,0,0,-0.13,-0.81,-0.05,-0.1,-0.1,-0.07,-0.18,-0.11,-0.07,-0.05,-0.08,-0.18,-0.15,-0.32,-0.16,-0.15,
25859,8.175,64.737,-46.492,0,None,0,0,0,-0.03,-3.11,-0.31,-0.12,0.24,0.17,0.09,0.17,0.06,-0.13,-0.05,0,0.03,-0.06,-0.03,-0.06,-0.01
25873,4.335,34.55,7.755,0,None,0,0,0,0.19,,-0.01,0,-0.08,-0.09,-0.18,-0.02,0.04,,0.08,-0.03,0.02,-0.16,,0.01,0.12
25878,0.707,5.644,-0.366,0,None,0,0,0,0.27,,0.25,0.09,0.42,0.2,0.14,0.22,0.28,,0.36,0.23,0.43,0.2,,0.46,
25880,2.817,22.519,31.999,0,None,0,0,0,-0.19,,,,-0.27,-0.01,-0.11,-0.15,-0.11,0.05,-0.18,-0.28,-0.19,-0.36,-0.08,-0.22,0.01
25883,3.802,30.477,63.872,1,Radial Velocity,1,3.76,1.15,0,-0.55,0.08,0.12,-0.13,0.16,-0.08,0,0,,-0.06,-0.27,-0.22,-0.25,,-0.05,
25887,14.838,119.125,-123.987,0,None,0,0,0,-0.1,-2.95,-0.22,-0.17,0.11,0.04,0.1,0.07,0.02,-0.11,-0.04,0.17,0.02,-0.11,-0.06,-0.08,-0.19
25905,4.951,39.945,0.069,0,None,0,0,0,-0.19,,,-0.17,-0.37,-0.17,-0.23,-0.19,-0.21,-0.12,-0.19,-0.28,-0.19,-0.35,-0.18,-0.23,-0.11
25918,0.965,7.822,-32.43,0,None,0,0,0,0.2,-3,0.2,0.12,0.62,0.72,0.71,0.32,0.3,0.21,0.38,0.46,0.36,0.49,0.3,0.3,0.07
25963,4.933,40.68,-44.681,0,None,0,0,0,0.2,-0.37,,,0.27,,,0.16,,,0.21,,,,,0.21,
25973,2.789,23.186,36.266,0,None,0,0,0,0.02,-1.33,0.16,0.13,0.02,0.14,-0.02,0.09,0.08,0.51,0.03,-0.08,0.06,-0.15,0.08,0.03,0.36
25993,5.012,42.119,-33.756,0,None,0,0,0,0.24,-3.14,0.17,0.09,0.61,0.46,0.58,0.46,0.41,0.41,0.36,0.57,0.4,0.36,0.4,0.42,0.37
26030,3.191,27.193,-58.776,0,None,0,0,0,0.13,,0.05,0.14,0.04,0.03,-0.02,0.13,0.08,,0.09,0.04,0.16,,0.01,0.13,
26079,3.479,30.229,-43.299,0,None,0,0,0,-0.1,,-0.01,-0.05,-0.04,-0.05,-0.14,-0.06,0.01,0,0.01,-0.1,-0.13,-0.32,-0.14,-0.12,
26100,6.403,56.199,15.776,0,None,0,0,0,-0.45,-1.15,0.01,-0.08,-0.38,-0.31,-0.5,-0.26,-0.38,,-0.45,-0.55,,-0.74,-0.41,-0.46,
26109,3.512,30.905,83.909,0,None,0,0,0,-0.42,,,,-0.45,-0.3,-0.56,-0.4,-0.31,-0.25,-0.24,-0.29,-0.41,-0.58,-0.38,-0.39,-0.4
26129,7.94,70.493,15.064,0,None,0,0,0,0.04,,0.02,-0.07,-0.23,-0.04,-0.17,-0.08,0.03,,-0.05,-0.06,0.01,-0.16,,-0.03,0.13
26273,7.474,70.179,-36.929,0,None,0,0,0,-0.4,,-0.22,-0.28,-0.57,-0.3,-0.4,-0.38,-0.34,-0.31,-0.31,-0.43,-0.43,-0.72,-0.36,-0.46,-0.38
26326,4.53,43.864,27.559,0,None,0,0,0,-0.14,-0.7,0.12,0.06,-0.24,-0.28,-0.38,-0.09,-0.21,,-0.32,-0.38,,-0.49,-0.3,-0.27,
26373,1.654,16.387,-18.269,0,None,0,0,0,-0.07,,-0.12,0.04,-0.08,0,-0.01,0.08,-0.01,-0.05,-0.07,-0.09,0.08,-0.17,-0.07,-0.06,0.19
26380,1.068,10.626,-36.521,1,Radial Velocity,1,0.34,1.08,-0.17,-0.94,0.06,-0.02,-0.12,-0.16,-0.34,-0.11,-0.13,,-0.02,,-0.17,,,-0.18,
26381,2.956,29.411,11.188,1,Radial Velocity,3,0.624,0.78,-0.37,-2.65,-0.06,-0.06,-0.42,-0.06,-0.19,-0.24,-0.3,-0.11,-0.13,-0.29,-0.45,-0.74,-0.2,-0.38,-0.43
26394,0.301,3.012,-18.027,1,Radial Velocity,3,12.6,1.07,0.11,-0.94,0.16,0.02,0.13,0.17,0.08,0.11,0.14,0.17,0.13,0.06,0.1,0.02,0.11,0.13,0.1
26437,1.349,13.729,50.388,0,None,0,0,0,0.14,-0.82,0.17,0.16,0.11,0.16,0.09,0.15,0.17,0.33,0.13,0.15,0.16,-0.02,0.19,0.21,0.1
26468,6.32,65.053,-91.849,0,None,0,0,0,0.2,,0.16,0.33,0.13,0.15,0.27,0.19,0.13,,0.19,0.2,0.21,,0.22,0.25,
26486,1.359,14.124,68.87,0,None,0,0,0,-0.26,,,,-0.33,-0.28,-0.37,-0.27,-0.24,-0.08,-0.13,-0.23,-0.26,-0.4,-0.17,-0.2,-0.16
26493,31.568,329.21,-87.109,0,None,0,0,0,0.05,,-0.26,-0.17,-0.22,-0.14,-0.21,-0.28,0.03,,-0.05,-0.12,-0.04,-0.07,,0.06,0.42
26501,1.682,17.593,-18.369,0,None,0,0,0,-0.22,,-0.37,,-0.28,-0.2,-0.24,-0.2,-0.23,,-0.14,-0.23,-0.22,,-0.32,-0.23,
26505,1.214,12.718,16.03,0,None,0,0,0,-0.37,-3.78,-0.07,-0.16,-0.35,-0.19,-0.17,-0.21,-0.2,-0.05,-0.15,-0.16,-0.36,-0.67,-0.05,-0.36,-0.43
26534,4.956,52.998,-16.192,0,None,0,0,0,-0.03,-1.08,0.06,0.01,0.12,0.03,0.02,0.01,0.02,0.08,0.03,-0.02,-0.04,-0.18,0.03,0,
26542,2.15,23.036,-18.31,0,None,0,0,0,-0.53,,-0.35,,-0.33,-0.5,-0.32,-0.52,-0.35,0,-0.11,0.08,-0.39,-0.72,-0.41,-0.51,
26617,9.147,101.77,7.057,0,None,0,0,0,-0.63,-2.41,-0.25,-0.16,-0.61,-0.38,-0.58,-0.42,-0.44,,-0.65,-0.73,-0.63,-1.08,-0.54,-0.65,
26638,,,,1,Radial Velocity,1,6.6,1.14,,,,,,,,,,,,,,,,,
26649,8.403,95.238,-61.213,0,None,0,0,0,0.02,-2.5,-0.34,-0.12,0.21,0.13,0.16,0.11,0.13,0.02,0,-0.07,0.03,-0.1,0.01,-0.04,0.04
26653,1.488,16.898,22.428,0,None,0,0,0,0,,0.03,-0.09,-0.13,-0.1,-0.09,-0.06,-0.02,0.22,-0.04,-0.09,0,-0.19,-0.06,-0.12,-0.05
26664,4.029,46.115,4.915,1,Radial Velocity,2,0,0.92,0.3,,0.3,0.14,0.26,0.34,0.3,0.28,0.25,0.4,0.29,0.28,0.29,0.36,0.47,0.32,0.24
26688,5.284,61.289,-21.455,0,None,0,0,0,-0.39,,,,-0.43,-0.45,,-0.27,-0.4,,-0.21,-0.69,,,,-0.47,
26689,4.704,54.574,16.114,0,None,0,0,0,-0.06,,-0.11,0.14,-0.16,-0.05,-0.19,-0.07,0.05,,-0.02,-0.03,0.01,-0.29,,-0.14,0.03
26695,42.376,494.463,17.957,0,None,0,0,0,0,,,,0.02,-0.02,-0.01,0.13,-0.03,,0.01,,-0.11,,,0.01,
26711,18.701,220.352,122.466,0,None,0,0,0,0.18,,,,0.3,0.12,0.13,0.16,0.2,,0.13,0.03,0.11,,0.15,0.07,
26722,3.522,41.757,-31.104,0,None,0,0,0,0.01,-0.45,-0.03,-0.04,-0.05,-0.01,-0.09,-0.02,0.03,0.01,-0.02,-0.09,0,-0.17,-0.02,-0.07,0.08
26737,2.491,29.762,-18.196,0,None,0,0,0,-0.19,-1.46,-0.15,-0.22,-0.22,-0.15,-0.2,-0.18,-0.12,-0.18,-0.13,-0.19,-0.17,-0.39,-0.23,-0.22,-0.1
26779,0.594,7.273,9.855,0,None,0,0,0,0.13,-2.94,0.14,0.01,0.03,0.12,0.08,0.09,0.14,0.14,0.14,0.12,0.13,0.03,0.19,0.12,0.12
26787,3.843,47.221,-34.062,0,None,0,0,0,-0.26,,-0.28,,-0.2,-0.18,-0.24,-0.24,-0.16,-0.26,-0.14,-0.29,-0.25,-0.46,-0.24,-0.27,
26801,0.588,7.269,9.851,0,None,0,0,0,0.16,,0.12,0.03,0,0.1,-0.09,0.08,0.2,,0.18,-0.02,0.22,0.12,,0.2,
26834,2.274,28.726,-8.062,0,None,0,0,0,0.3,,0.36,0.2,0.38,0.32,0.31,0.32,0.29,0.41,0.34,0.38,0.31,0.31,0.42,0.36,0.15
26853,7.778,99.2,41.543,0,None,0,0,0,0.14,-3.3,0.07,0.17,0.49,0.58,0.71,0.52,0.46,0.36,0.44,0.55,0.47,0.35,0.44,0.43,0.26
26883,2.375,30.96,-37.634,0,None,0,0,0,0.12,,0.2,,0.24,0.14,0.19,0.14,0.1,0.19,0.21,0.36,0.13,0.07,0.25,0.14,
26885,6.981,91.123,2.353,0,None,0,0,0,-0.4,-3.52,-0.5,-0.36,-0.42,-0.21,-0.17,-0.26,-0.35,-0.41,-0.38,-0.46,-0.4,-0.57,-0.38,-0.44,-0.62
26897,11.383,149.75,-323.984,0,None,0,0,0,0.22,,0.17,-0.04,0.18,0.33,0.1,0.26,0.11,,0.22,0.18,0.16,,0.22,0.25,
26935,4.843,65.094,-8.572,0,None,0,0,0,0.2,,0.32,0.12,0.22,0.28,0.23,0.2,0.22,0.4,0.23,0.15,0.17,0.08,0.37,0.23,
26942,2.441,32.907,50.008,0,None,0,0,0,0.12,-2.28,-0.16,-0.15,-0.1,0.01,-0.04,-0.09,0.11,,0.04,0,0.09,0.1,,0.15,0.27
26973,1.799,24.859,-27.51,0,None,0,0,0,0.25,,0.14,0.16,0.15,0.24,0.2,0.18,0.26,0.31,0.23,0.28,0.28,0.24,0.24,0.22,0.32
26977,3.287,45.51,-21.883,0,None,0,0,0,-0.1,,-0.06,,-0.09,-0.02,-0.02,-0.09,-0.05,-0.07,0,-0.07,-0.12,-0.27,-0.08,-0.12,
26981,2.94,40.774,-33.587,0,None,0,0,0,0.1,-0.88,0.09,-0.03,0.28,-0.05,-0.14,0.04,0.19,,0.25,,0.12,-0.06,0.05,0.07,
27046,4.269,61.597,113.608,0,None,0,0,0,-0.02,-2.54,-0.38,-0.2,0.21,0.16,0.15,0.1,0.16,0.01,0.01,-0.03,0.08,-0.07,0.04,-0.03,0.07
27058,2.56,37.301,-6.604,0,None,0,0,0,-0.06,-1.7,-0.04,-0.05,-0.15,0.01,-0.07,-0.08,-0.02,0.01,-0.03,-0.11,-0.09,-0.22,-0.08,-0.1,-0.19
27072,0.558,8.218,-3.403,0,None,0,0,0,-0.02,-0.41,-0.02,0.05,-0.05,-0.01,-0.03,0,0.05,0.44,0.02,-0.02,-0.02,-0.2,0.15,-0.06,0.07
27075,1.662,24.493,-8.997,0,None,0,0,0,0.04,-0.62,0.13,0,0,0.08,-0.02,0.04,0.1,0.06,0.07,-0.01,0.04,-0.07,0.06,0.02,0.26
27090,4.148,61.859,-35.675,0,None,0,0,0,0.31,,0.25,0.16,0.34,0.32,0.3,0.26,0.25,0.37,0.23,0.25,0.25,0.25,0.37,0.31,0.25
27091,18.83,281.466,62.102,0,None,0,0,0,-0.1,-2,-0.05,,0.25,0.22,,-0.01,0.29,,0.07,,-0.04,,-0.11,0.19,
27113,4.304,65.685,-47.472,0,None,0,0,0,0.3,,0.27,,0.33,0.24,0.26,0.28,0.19,,0.29,0.29,0.3,,0.35,0.39,
27165,2.327,36.733,47.384,0,None,0,0,0,-0.3,,0.05,,-0.22,-0.2,-0.23,-0.21,-0.26,,-0.19,,,,,-0.32,-0.27
27207,1.011,16.567,12.637,0,None,0,0,0,-0.03,-3.18,0.05,0.1,-0.01,0.1,0.12,0.03,0,0.31,0.09,0.04,0.03,-0.1,0.24,-0.04,-0.1
27212,6.731,110.424,-8.257,0,None,0,0,0,0.13,-3.08,-0.15,-0.02,0.22,0.25,0.3,0.25,0.25,0.12,0.18,0.17,0.22,0.12,0.17,0.17,0.12
27225,0.436,7.23,34.842,0,None,0,0,0,0.02,,-0.08,-0.08,-0.2,-0.1,-0.21,-0.05,0.03,,-0.01,-0.04,-0.02,-0.25,,-0.08,0.12
27243,5.211,88.073,-93.288,0,None,0,0,0,0.05,,,-0.06,,,,-0.01,,,,,,,,,
27244,1.014,17.157,-22.991,0,None,0,0,0,0.07,-0.95,0.11,0.03,0.05,0.08,0.02,0.07,0.11,0.13,0.07,0.01,0.06,-0.06,0.08,0.09,0.17
27246,0.608,10.302,37.493,0,None,0,0,0,-0.1,,,,-0.1,-0.01,-0.05,0.02,-0.12,0.1,0.02,-0.01,-0.01,-0.17,0.13,0.04,-0.04
27253,2.478,42.273,0.863,2,Radial Velocity,2,0.797,1.41,0.37,-2.77,0.4,0.31,0.47,0.43,0.4,0.38,0.34,0.38,0.38,0.31,0.33,0.47,0.46,0.43,0.42
27260,3.47,59.753,-23.972,0,None,0,0,0,0.02,,,,-0.09,-0.07,0.07,0.02,0.11,0.58,0.07,0,0.05,-0.11,0.1,-0.07,0.1
27263,5.763,99.51,19.466,0,None,0,0,0,0.15,,-0.02,0,0,0.08,0.03,-0.02,0.14,,0.08,0.08,0.12,0.14,,0.18,0.19
27280,5.376,93.722,15.747,0,None,0,0,0,-0.03,-3.32,-0.3,-0.18,0.05,-0.02,-0.03,0.01,-0.02,-0.1,-0.05,-0.24,-0.06,-0.16,-0.03,-0.1,0
27281,2.648,46.199,-25.535,0,None,0,0,0,-0.22,-0.73,-0.17,-0.11,-0.17,-0.14,-0.24,-0.18,-0.07,-0.13,-0.1,-0.23,-0.23,-0.46,-0.19,-0.24,
27305,3.453,61.309,-11.525,1,Radial Velocity,4,0.07636,1.21,0.22,,0.23,-0.01,0.15,0.13,0.08,0.25,0.16,,0.19,0.2,0.22,,0.13,0.24,
27384,4.74,90.347,-13.243,1,Radial Velocity,1,12.12,1.64,0.34,,0.16,0.08,0.29,0.23,0.23,0.23,0.24,0.35,0.28,0.34,0.26,0.3,0.43,0.32,0.3
27417,2.06,40.434,-18.42,0,None,0,0,0,-0.01,,0,-0.08,-0.2,-0.04,-0.23,-0.06,0.04,,-0.02,0.08,0.02,-0.24,,-0.1,0.08
27435,0.755,15.149,-1.086,0,None,0,0,0,-0.19,-1.75,-0.16,-0.21,-0.27,-0.15,-0.24,-0.21,-0.14,-0.15,-0.14,-0.22,-0.21,-0.32,-0.18,-0.22,-0.15
27441,1.614,32.453,-27.199,0,None,0,0,0,0.09,,-0.06,,-0.05,,-0.02,0.01,0.06,,0.12,0.12,0.13,,-0.01,0.07,
27468,2.601,54.224,24.817,0,None,0,0,0,-0.02,,,,,,,0.17,-0.07,0.02,-0.17,-0.23,-0.06,,0,-0.01,
27483,2.217,46.899,38.267,0,None,0,0,0,-0.13,-3.36,-0.29,-0.09,0.02,0.04,0.03,0.04,-0.02,-0.1,-0.1,-0.26,-0.07,-0.19,-0.04,-0.12,-0.07
27491,2.276,48.594,-37.347,0,None,0,0,0,0.44,,,,0.57,0.45,0.28,0.38,0.36,,0.37,,,,,0.44,
27517,3.588,79.08,-20.448,0,None,0,0,0,0.13,-2.92,-0.26,-0.12,0.3,0.25,0.18,0.19,0.23,0.12,0.14,0.09,0.17,-0.03,0.14,0.09,0.23
27549,5.328,122.582,21.351,0,None,0,0,0,0.18,,-0.16,-0.1,0.42,,,0.22,0.15,0.14,0.07,0.11,0.07,-0.08,0.19,0.09,
27576,0.654,15.671,61.598,0,None,0,0,0,0.04,-0.4,0.17,0.14,0.14,0.09,0.07,0.12,0.08,0.19,0.03,0.08,0.08,0,0.18,0.13,-0.05
27578,1.512,36.299,-34.717,0,None,0,0,0,-0.14,-1.67,-0.12,-0.03,-0.21,-0.1,-0.14,-0.17,-0.12,-0.14,-0.11,-0.18,-0.14,-0.31,-0.18,-0.2,0.06
27621,1.984,49.873,-64.136,0,None,0,0,0,-0.1,-2.94,-0.31,-0.15,0.08,0.01,0.01,0.03,0.01,-0.07,-0.06,-0.07,-0.06,-0.06,-0.05,-0.12,-0.09
27628,0.887,22.481,-16.208,0,None,0,0,0,0.22,-2.49,0.06,0.26,0.31,0.4,0.34,0.34,0.26,0.2,0.22,0.42,0.28,0.3,0.29,0.28,0.15
27641,2.273,58.197,11.848,0,None,0,0,0,0.01,,-0.14,-0.04,-0.05,-0.06,-0.08,-0.08,-0.03,-0.07,0.01,0,-0.09,-0.19,-0.03,-0.07,0.09
27673,1.9,51.133,41.655,0,None,0,0,0,0.03,-3.05,-0.21,-0.03,0.21,0.14,0.22,0.28,0.1,0,0,-0.06,0.1,-0.03,0.03,0.04,-0.02
27688,2.003,55.505,-32.672,0,None,0,0,0,0.23,,0.13,,0.27,0.16,0.2,0.21,0.15,,0.25,0.22,0.24,,0.26,0.31,
27706,1.768,50.601,39.32,0,None,0,0,0,0.24,,0.3,0.15,0.06,0.17,0.17,0.16,0.23,,0.2,0.18,0.21,0.14,,0.25,0.17
27734,1,29.748,-472.243,0,None,0,0,0,-0.09,,,,-0.13,0.17,-0.03,0.01,-0.07,,-0.05,,-0.13,,,-0.12,
27766,2.463,75.769,-58.446,0,None,0,0,0,-0.12,-3.28,,,-0.01,-0.08,-0.05,-0.07,-0.09,-0.09,-0.11,-0.08,-0.16,-0.29,-0.08,-0.16,
27799,2.13,69.401,3.697,0,None,0,0,0,0.29,,,0.18,,,,0.24,,,,,,,,,
27803,,,,1,Radial Velocity,2,0.027,0.7,,,,,,,,,,,,,,,,,
