HIP,Sampled,Predicted,Prob
28677,9.0,8.0,0.8888888888888888
66487,9.0,8.0,0.8888888888888888
95164,9.0,8.0,0.8888888888888888
95319,9.0,8.0,0.8888888888888888
60591,9.0,8.0,0.8888888888888888
95447,9.0,8.0,0.8888888888888888
70735,9.0,8.0,0.8888888888888888
95849,9.0,8.0,0.8888888888888888
57221,9.0,8.0,0.8888888888888888
29788,9.0,8.0,0.8888888888888888
69564,9.0,8.0,0.8888888888888888
94615,9.0,8.0,0.8888888888888888
7607,9.0,8.0,0.8888888888888888
107246,9.0,8.0,0.8888888888888888
105740,9.0,8.0,0.8888888888888888
19335,9.0,8.0,0.8888888888888888
111148,9.0,8.0,0.8888888888888888
13679,9.0,8.0,0.8888888888888888
56278,9.0,8.0,0.8888888888888888
84132,9.0,8.0,0.8888888888888888
4801,9.0,8.0,0.8888888888888888
93685,9.0,8.0,0.8888888888888888
8848,9.0,8.0,0.8888888888888888
113779,9.0,8.0,0.8888888888888888
67069,9.0,8.0,0.8888888888888888
93547,9.0,8.0,0.8888888888888888
31655,9.0,8.0,0.8888888888888888
44935,9.0,8.0,0.8888888888888888
10446,9.0,8.0,0.8888888888888888
108950,9.0,8.0,0.8888888888888888
108468,9.0,8.0,0.8888888888888888
54287,8.0,7.0,0.875
110843,8.0,7.0,0.875
64475,8.0,7.0,0.875
15005,8.0,7.0,0.875
68184,8.0,7.0,0.875
101936,8.0,7.0,0.875
28913,8.0,7.0,0.875
6116,8.0,7.0,0.875
77655,8.0,7.0,0.875
14774,8.0,7.0,0.875
26973,8.0,7.0,0.875
48113,8.0,7.0,0.875
76200,8.0,7.0,0.875
46360,7.0,6.0,0.8571428571428571
53084,7.0,6.0,0.8571428571428571
78998,7.0,6.0,0.8571428571428571
27799,7.0,6.0,0.8571428571428571
87912,10.0,8.0,0.8
64394,10.0,8.0,0.8
86742,10.0,8.0,0.8
86877,10.0,8.0,0.8
87769,10.0,8.0,0.8
114670,10.0,8.0,0.8
14355,10.0,8.0,0.8
117541,10.0,8.0,0.8
14501,10.0,8.0,0.8
100363,10.0,8.0,0.8
100474,10.0,8.0,0.8
22504,10.0,8.0,0.8
13601,10.0,8.0,0.8
16581,10.0,8.0,0.8
117144,10.0,8.0,0.8
116542,10.0,8.0,0.8
56363,10.0,8.0,0.8
117399,10.0,8.0,0.8
117184,10.0,8.0,0.8
4752,10.0,8.0,0.8
61173,10.0,8.0,0.8
112219,10.0,8.0,0.8
17378,10.0,8.0,0.8
110585,10.0,8.0,0.8
42528,10.0,8.0,0.8
9827,10.0,8.0,0.8
110919,10.0,8.0,0.8
56130,10.0,8.0,0.8
56798,10.0,8.0,0.8
52369,10.0,8.0,0.8
109012,10.0,8.0,0.8
6712,10.0,8.0,0.8
6653,10.0,8.0,0.8
71462,10.0,8.0,0.8
52686,10.0,8.0,0.8
73593,10.0,8.0,0.8
56876,10.0,8.0,0.8
4423,10.0,8.0,0.8
28181,10.0,8.0,0.8
26942,10.0,8.0,0.8
26779,10.0,8.0,0.8
