f_preferred_name,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,
HIP 19388 ,0.10 ,-3.10 ,-0.11 ,0.03 ,0.29 ,0.34 ,0.40 ,0.31 ,0.27 ,0.16 ,0.20 ,0.21 ,0.23 ,0.21 ,0.21 ,0.22 ,0.10 ,62.2915251 ,19.6092171 ,41.361 ,78.753 ,31.691 ,94.43 ,thin ,K1III ,5.50 ,1.077 ,-35.90 ,-36.00 ,11.80 ,4800.0 ,2.90 ,,11.13 ,
HIP 84924 ,-0.21 ,,-0.12 ,0.14 ,-0.23 ,-0.18 ,-0.24 ,-0.18 ,-0.23 ,,-0.16 ,-0.25 ,-0.22 ,,-0.29 ,-0.20 ,,260.3307160 ,-51.1228102 ,-4.085 ,-23.974 ,-30.164 ,38.75 ,thin ,G1V ,7.79 ,0.627 ,38.20 ,-37.40 ,11.40 ,5739.0 ,4.43 ,1.02 ,1.02 ,
2MASS 19372421+5004519 ,0.19 ,,0.14 ,0.06 ,0.11 ,0.15 ,0.09 ,0.17 ,0.19 ,,0.17 ,0.20 ,0.20 ,0.11 ,,0.22 ,0.18 ,294.3509097 ,50.0810772 ,116.060 ,-256.436 ,336.416 ,438.64 ,N/A ,,,,,,,5483.0 ,4.46 ,0.96 ,0.90 ,
HIP 84936 ,-0.04 ,-0.85 ,-0.03 ,,-0.15 ,-0.11 ,-0.11 ,-0.10 ,0.02 ,-0.05 ,-0.01 ,-0.10 ,-0.05 ,-0.33 ,-0.11 ,-0.12 ,,260.3817164 ,-22.9259297 ,-9.136 ,-53.908 ,-23.125 ,59.37 ,N/A ,G1V ,8.68 ,0.608 ,,,,5934.0 ,4.57 ,1.08 ,0.95 ,
HIP 19402 ,0.06 ,,0.03 ,-0.02 ,0.07 ,0.13 ,0.02 ,0.06 ,0.13 ,0.15 ,0.02 ,0.08 ,0.09 ,-0.06 ,0.11 ,0.11 ,-0.10 ,62.3430338 ,73.5704106 ,8.086 ,15.431 ,59.079 ,61.59 ,thin ,F5 ,6.75 ,0.548 ,32.50 ,-5.80 ,-9.90 ,6177.0 ,3.83 ,1.18 ,2.19 ,
2MASS 19001000+5004313 ,-0.17 ,,-0.11 ,-0.06 ,-0.29 ,-0.14 ,-0.15 ,-0.17 ,-0.13 ,,-0.11 ,-0.25 ,-0.19 ,-0.38 ,,-0.17 ,-0.32 ,285.0417123 ,50.0753732 ,73.734 ,-274.381 ,339.502 ,442.70 ,N/A ,,,,,,,5818.0 ,4.42 ,0.99 ,1.04 ,
HIP 84949 ,0.16 ,,,,-0.11 ,0.01 ,0.21 ,-0.16 ,0.15 ,0.34 ,0.38 ,0.45 ,0.27 ,0.10 ,0.34 ,0.05 ,0.28 ,260.4317108 ,39.9746682 ,-11.946 ,-70.867 ,60.249 ,93.78 ,thin ,G0III-IV ,5.56 ,0.667 ,19.10 ,-8.00 ,-7.50 ,5699.0 ,3.28 ,,,
HIP 84950 ,-0.24 ,,-0.54 ,-0.31 ,-0.47 ,-0.29 ,-0.50 ,-0.37 ,-0.28 ,-0.31 ,-0.42 ,-0.39 ,-0.43 ,-0.75 ,-0.42 ,-0.43 ,,260.4390348 ,53.4204301 ,-23.489 ,-139.452 ,190.559 ,237.30 ,thin ,K4III ,5.68 ,1.463 ,-1.90 ,3.50 ,-18.20 ,4255.0 ,2.05 ,,46.72 ,
HIP 19422 ,0.05 ,-3.68 ,0.05 ,-0.04 ,0.05 ,-0.01 ,-0.03 ,0.02 ,0.02 ,,0.00 ,-0.01 ,-0.02 ,-0.14 ,-0.04 ,0.03 ,-0.14 ,62.3960004 ,69.5413920 ,3.040 ,5.813 ,17.584 ,18.77 ,thin ,K2.5V ,7.70 ,0.952 ,-7.70 ,-23.90 ,-17.30 ,5022.0 ,4.79 ,0.82 ,0.76 ,
HIP 19428 ,-0.03 ,,0.00 ,0.07 ,-0.09 ,-0.02 ,-0.18 ,-0.03 ,-0.01 ,,-0.04 ,-0.06 ,0.02 ,-0.15 ,,-0.01 ,0.08 ,62.4118998 ,31.6521330 ,16.109 ,30.830 ,21.443 ,40.86 ,thin ,F8V ,6.88 ,0.550 ,-16.50 ,5.10 ,14.90 ,6172.0 ,4.17 ,1.12 ,1.44 ,
HIP 52197 ,0.21 ,,-0.10 ,-0.11 ,0.01 ,0.08 ,0.05 ,-0.01 ,0.18 ,,0.12 ,0.08 ,0.18 ,0.20 ,,0.22 ,0.34 ,159.9607311 ,37.8390733 ,-87.692 ,31.985 ,72.506 ,118.19 ,thin ,K0 ,7.59 ,0.990 ,6.60 ,-22.60 ,9.60 ,4903.0 ,3.23 ,,5.19 ,
HIP 19431 ,-0.01 ,,,,0.42 ,,0.36 ,0.52 ,0.34 ,0.41 ,0.12 ,0.13 ,0.32 ,-0.06 ,0.49 ,0.34 ,0.95 ,62.4203848 ,-7.8928267 ,25.214 ,48.272 ,-7.550 ,54.98 ,thin ,G3V ,7.04 ,0.712 ,-30.60 ,7.80 ,4.00 ,5513.0 ,3.76 ,0.97 ,2.14 ,
HIP 19435 ,-0.38 ,,-0.40 ,-0.22 ,-0.50 ,-0.27 ,-0.26 ,-0.34 ,-0.25 ,,-0.16 ,-0.25 ,-0.41 ,-0.67 ,,-0.30 ,-0.15 ,62.4299527 ,35.9773891 ,43.430 ,83.180 ,68.119 ,115.95 ,thin ,K0 ,8.00 ,0.890 ,-4.30 ,-42.30 ,-9.60 ,4943.0 ,3.43 ,,4.38 ,
2MASS 19234258+4826367 ,0.05 ,,0.00 ,0.10 ,-0.08 ,-0.01 ,-0.05 ,0.04 ,0.03 ,,0.05 ,0.06 ,0.04 ,-0.16 ,,0.05 ,0.06 ,290.9274717 ,48.4435323 ,190.193 ,-497.352 ,600.662 ,802.70 ,N/A ,,,,,,,5547.0 ,4.49 ,0.93 ,1.07 ,
HIP 84975 ,-0.17 ,,-0.08 ,0.08 ,-0.09 ,-0.01 ,-0.05 ,-0.09 ,-0.16 ,-0.24 ,-0.07 ,-0.21 ,-0.25 ,-0.15 ,-0.14 ,-0.16 ,-0.39 ,260.5172133 ,5.0008141 ,-14.193 ,-84.973 ,7.538 ,86.48 ,thin ,G9III-IV ,6.68 ,0.927 ,13.50 ,-13.00 ,-18.10 ,4979.0 ,3.24 ,,5.52 ,
HIP 84988 ,-0.66 ,-2.38 ,,-0.23 ,-0.61 ,-0.36 ,-0.55 ,-0.42 ,-0.47 ,-0.45 ,-0.38 ,,-0.69 ,-0.96 ,-0.53 ,-0.64 ,-0.80 ,260.5527067 ,-75.3481500 ,-1.147 ,-6.892 ,-26.724 ,27.62 ,thick ,G2VFe-1.0CH-0.6 ,7.04 ,0.607 ,6.40 ,-127.80 ,68.20 ,5870.0 ,4.43 ,1.03 ,1.02 ,
HD 279100 ,-0.36 ,,-0.37 ,,-0.35 ,-0.24 ,-0.51 ,-0.31 ,-0.28 ,-0.21 ,-0.37 ,-0.06 ,-0.46 ,-0.63 ,,-0.31 ,-0.55 ,57.9390004 ,34.8895837 ,59.268 ,94.624 ,77.860 ,136.12 ,N/A ,,,,,,,6351.8 ,4.45 ,1.40 ,1.17 ,
