f_preferred_name,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,
HIP 6206 ,0.06 ,,-0.03 ,0.04 ,-0.08 ,0.01 ,-0.03 ,0.06 ,-0.02 ,,0.05 ,-0.02 ,0.08 ,,0.01 ,0.03 ,,19.8891370 ,-39.3626010 ,28.385 ,10.269 ,-24.762 ,39.04 ,thin ,G1V ,7.65 ,0.622 ,-4.70 ,7.10 ,-4.10 ,5921.0 ,4.45 ,1.07 ,1.02 ,
HIP 71743 ,0.18 ,,-0.04 ,0.12 ,0.02 ,0.04 ,0.01 ,0.06 ,0.08 ,0.27 ,0.15 ,0.04 ,0.13 ,0.04 ,0.02 ,0.01 ,-0.07 ,220.1296097 ,-16.2092924 ,-17.360 ,-14.634 ,-6.600 ,23.64 ,thin ,G8V(k) ,7.24 ,0.710 ,-22.20 ,-6.60 ,-14.10 ,5588.0 ,5.00 ,0.98 ,0.87 ,
HIP 104514 ,-0.50 ,-0.68 ,-0.17 ,-0.18 ,-0.47 ,-0.45 ,-0.65 ,-0.36 ,-0.45 ,,-0.53 ,-0.61 ,,-0.82 ,-0.53 ,-0.54 ,,317.5593794 ,20.7436266 ,45.426 ,-41.538 ,23.313 ,65.82 ,thin ,F8 ,8.14 ,0.534 ,16.80 ,37.20 ,22.90 ,6144.5 ,4.35 ,1.16 ,1.19 ,
2MASS 20043757+4422463 ,-0.08 ,,-0.22 ,-0.02 ,-0.17 ,-0.10 ,-0.28 ,-0.05 ,0.01 ,,-0.04 ,-0.03 ,-0.07 ,-0.41 ,,-0.20 ,-0.09 ,301.1566035 ,44.3794709 ,116.770 ,-193.140 ,220.859 ,315.78 ,N/A ,,11.34 ,,,,,6517.0 ,4.21 ,1.28 ,1.35 ,
HIP 104520 ,-0.40 ,-0.80 ,-0.15 ,0.05 ,-0.34 ,-0.26 ,-0.44 ,-0.19 ,-0.23 ,,-0.32 ,-0.33 ,,-0.69 ,-0.30 ,-0.37 ,,317.5784068 ,52.4306774 ,37.099 ,-33.901 ,65.331 ,82.42 ,thin ,F5 ,8.01 ,0.516 ,-38.90 ,41.10 ,-14.10 ,6255.0 ,4.10 ,1.20 ,1.61 ,
HIP 104521 ,-1.74 ,,0.04 ,0.15 ,0.29 ,0.41 ,,-1.94 ,1.04 ,0.35 ,-3.03 ,0.85 ,-2.17 ,0.88 ,1.46 ,-0.35 ,1.58 ,317.5854170 ,10.1315811 ,26.210 ,-23.946 ,6.344 ,36.06 ,thin ,F0.IIIP ,4.70 ,0.262 ,1.50 ,-29.10 ,-13.70 ,7404.3 ,4.03 ,1.72 ,2.09 ,
HIP 71755 ,-0.34 ,-0.77 ,-0.30 ,,-0.23 ,-0.33 ,-0.49 ,-0.33 ,-0.26 ,,-0.22 ,-0.44 ,-0.36 ,-0.60 ,-0.27 ,-0.41 ,,220.1629661 ,-65.4183422 ,-18.668 ,-15.755 ,-53.401 ,58.72 ,thin ,F7V ,7.82 ,0.528 ,-30.70 ,10.60 ,14.70 ,6333.0 ,4.30 ,1.18 ,1.28 ,
2MASS 19220706+3856335 ,-0.17 ,,-0.13 ,-0.14 ,-0.25 ,-0.15 ,-0.23 ,-0.16 ,-0.14 ,,-0.17 ,-0.16 ,-0.17 ,-0.31 ,,-0.17 ,-0.12 ,290.5294288 ,38.9426594 ,170.405 ,-455.056 ,392.682 ,624.75 ,N/A ,,,,,,,5677.0 ,4.54 ,1.03 ,0.94 ,
HIP 38998 ,-0.09 ,,0.06 ,0.19 ,-0.02 ,0.06 ,0.13 ,-0.01 ,0.06 ,0.20 ,0.15 ,0.40 ,-0.03 ,-0.15 ,0.08 ,-0.06 ,0.03 ,119.7174089 ,-13.3152217 ,-17.123 ,29.998 ,-8.175 ,35.49 ,thin ,K2+V ,8.82 ,0.869 ,9.10 ,6.10 ,-41.10 ,5076.0 ,4.39 ,0.84 ,0.83 ,
HIP 71774 ,0.14 ,,0.12 ,0.20 ,0.04 ,0.07 ,0.00 ,0.09 ,0.19 ,,0.17 ,0.05 ,0.16 ,-0.02 ,,0.11 ,0.22 ,220.2326354 ,-26.4287055 ,-48.135 ,-40.724 ,-31.338 ,70.41 ,thin ,G0V ,7.44 ,0.591 ,-15.20 ,-3.90 ,3.70 ,6052.0 ,4.01 ,1.11 ,1.96 ,
HIP 104542 ,-0.29 ,,,,-0.05 ,0.11 ,-0.06 ,-0.07 ,-0.15 ,,-0.26 ,,-0.33 ,,,-0.25 ,,317.6397155 ,16.9795670 ,220.918 ,-201.445 ,91.289 ,312.60 ,thin ,G9IIIBa3 ,8.04 ,1.208 ,-33.40 ,-18.90 ,-3.60 ,4698.7 ,,,13.15 ,
HIP 104543 ,-0.25 ,,-0.40 ,-0.23 ,-0.18 ,-0.12 ,-0.21 ,-0.16 ,-0.10 ,-0.03 ,-0.17 ,-0.13 ,-0.15 ,-0.41 ,-0.15 ,-0.16 ,,317.6530491 ,66.1581813 ,75.885 ,-69.163 ,232.335 ,254.01 ,thin ,K0 ,7.14 ,1.226 ,11.60 ,0.30 ,-19.30 ,4768.1 ,,,17.26 ,
HIP 104549 ,-0.02 ,-1.35 ,0.07 ,0.09 ,0.00 ,0.02 ,-0.08 ,-0.02 ,0.03 ,0.17 ,0.04 ,-0.06 ,-0.01 ,-0.13 ,0.06 ,-0.01 ,0.01 ,317.6694623 ,-23.3115316 ,38.639 ,-35.196 ,-22.522 ,56.91 ,thin ,G1V ,8.05 ,0.606 ,-30.70 ,-33.30 ,-4.40 ,5974.0 ,4.44 ,1.09 ,1.22 ,
HD 48814 ,-0.02 ,,,,0.02 ,-0.04 ,-0.07 ,0.10 ,0.05 ,,0.01 ,,-0.06 ,,,0.04 ,,101.0887305 ,-22.4303198 ,-52.581 ,268.289 ,-112.854 ,295.77 ,N/A ,,,,,,,4905.6 ,,,10.79 ,
HIP 104557 ,0.20 ,-3.20 ,0.08 ,0.15 ,0.26 ,0.34 ,0.36 ,0.36 ,0.15 ,0.16 ,0.18 ,0.16 ,0.22 ,0.28 ,0.36 ,0.24 ,0.02 ,317.6955819 ,-9.3540738 ,79.810 ,-72.633 ,-17.776 ,109.37 ,thin ,K1/2III ,6.27 ,1.161 ,-52.10 ,-45.10 ,-30.00 ,4563.0 ,2.10 ,,10.33 ,
BD+20 2184 ,0.15 ,,,,0.05 ,0.13 ,0.02 ,0.13 ,0.16 ,,0.11 ,0.06 ,0.14 ,-0.03 ,0.20 ,0.20 ,,130.4325669 ,20.2268758 ,-107.592 ,126.275 ,61.126 ,176.80 ,N/A ,,10.43 ,,,,,6247.0 ,4.51 ,1.23 ,1.17 ,
HIP 39023 ,-0.10 ,,,-0.51 ,0.34 ,0.07 ,,-0.08 ,0.10 ,-0.28 ,-0.10 ,-0.08 ,-0.04 ,,-0.15 ,-0.09 ,-0.37 ,119.7738126 ,-23.3103965 ,-145.437 ,254.217 ,-126.197 ,318.91 ,thin ,G9IIa ,5.11 ,1.111 ,-15.20 ,-5.10 ,-9.40 ,4918.0 ,1.77 ,,38.29 ,
HIP 104560 ,-0.47 ,,,-0.36 ,-0.58 ,-0.31 ,-0.46 ,-0.45 ,-0.44 ,-0.30 ,-0.46 ,-0.51 ,-0.54 ,-0.59 ,-0.34 ,-0.52 ,-0.63 ,317.7013114 ,-7.6416070 ,40.028 ,-36.421 ,-7.261 ,54.60 ,thin ,G1/2V ,8.71 ,0.593 ,-72.10 ,-36.40 ,-21.10 ,5822.0 ,4.53 ,1.04 ,0.92 ,
HIP 104562 ,-0.15 ,,,,-0.05 ,-0.01 ,-0.13 ,-0.09 ,-0.02 ,0.07 ,-0.06 ,0.02 ,0.00 ,-0.29 ,-0.02 ,-0.06 ,,317.7126411 ,66.7094966 ,65.875 ,-59.915 ,206.858 ,225.21 ,thin ,K0 ,7.34 ,0.993 ,-7.60 ,-47.20 ,-22.80 ,4996.7 ,,,10.40 ,
2MASS 19454938+3935549 ,-0.10 ,,-0.09 ,-0.20 ,-0.25 ,-0.08 ,-0.19 ,-0.13 ,-0.05 ,,-0.07 ,-0.02 ,-0.10 ,-0.36 ,,-0.13 ,0.00 ,296.4557426 ,39.5985978 ,284.678 ,-572.083 ,528.600 ,829.30 ,N/A ,,,,,,,6016.0 ,4.49 ,0.87 ,1.00 ,
HIP 71803 ,0.25 ,-2.16 ,0.26 ,0.17 ,0.40 ,0.31 ,0.27 ,0.26 ,0.24 ,0.35 ,0.24 ,0.21 ,0.25 ,0.22 ,0.35 ,0.31 ,0.22 ,220.3174222 ,-4.9448704 ,-41.003 ,-34.795 ,-4.653 ,53.98 ,thin ,G6V ,8.21 ,0.682 ,29.20 ,-26.20 ,-13.60 ,5832.0 ,4.39 ,1.03 ,1.16 ,
HIP 71806 ,-0.40 ,,-0.33 ,-0.19 ,-0.28 ,-0.29 ,-0.10 ,-0.33 ,-0.30 ,-0.32 ,-0.30 ,-0.45 ,-0.43 ,-0.66 ,-0.38 ,-0.42 ,,220.3283680 ,3.4487687 ,-99.741 ,-84.671 ,7.885 ,131.07 ,thin ,G0V ,8.41 ,0.636 ,-6.60 ,-15.50 ,-15.70 ,5872.0 ,3.89 ,1.05 ,2.54 ,
HIP 39039 ,0.38 ,,0.42 ,,0.57 ,0.40 ,0.47 ,0.41 ,0.32 ,0.57 ,0.50 ,0.78 ,0.36 ,0.38 ,0.64 ,0.45 ,,119.8083451 ,-52.1515413 ,-16.489 ,28.781 ,-42.688 ,54.06 ,N/A ,K0V ,9.20 ,0.866 ,,,,5226.0 ,4.34 ,0.89 ,0.94 ,
HIP 6276 ,0.06 ,,-0.01 ,-0.21 ,-0.06 ,-0.02 ,-0.09 ,-0.03 ,0.06 ,0.03 ,0.02 ,-0.02 ,0.04 ,-0.08 ,0.00 ,-0.03 ,0.11 ,20.1344501 ,-11.4677022 ,32.415 ,11.884 ,-7.004 ,35.23 ,thin ,G9V ,8.39 ,0.791 ,-4.90 ,-28.00 ,-11.90 ,5421.0 ,4.56 ,0.92 ,0.83 ,
HIP 71813 ,0.05 ,,,0.09 ,,-0.04 ,-0.01 ,0.05 ,0.04 ,,0.07 ,,,,,0.00 ,,220.3433385 ,29.0588048 ,-31.618 ,-26.855 ,23.050 ,47.46 ,thin ,G2V ,7.81 ,0.642 ,17.80 ,-35.30 ,-31.00 ,5771.0 ,4.25 ,1.01 ,1.26 ,
HIP 71819 ,-0.11 ,-1.64 ,0.04 ,0.08 ,-0.08 ,0.01 ,-0.02 ,-0.04 ,0.00 ,0.09 ,-0.01 ,-0.14 ,-0.07 ,-0.24 ,-0.04 ,-0.08 ,0.29 ,220.3698967 ,13.6014731 ,-46.319 ,-39.379 ,14.710 ,62.55 ,thick ,G2V ,8.37 ,0.603 ,-74.30 ,-104.20 ,29.70 ,6064.0 ,4.33 ,1.07 ,1.17 ,
HIP 104587 ,0.03 ,,-0.01 ,-0.06 ,-0.13 ,0.03 ,-0.01 ,0.02 ,0.04 ,,0.02 ,0.07 ,0.03 ,-0.10 ,,0.04 ,-0.03 ,317.7952255 ,45.4559155 ,16.289 ,-14.772 ,22.342 ,31.35 ,thin ,G8IV ,7.83 ,0.780 ,53.60 ,-52.10 ,-2.30 ,5401.0 ,4.47 ,0.94 ,0.94 ,
2MASS 19121663+3849036 ,0.03 ,,0.04 ,-0.01 ,-0.26 ,0.00 ,-0.10 ,0.00 ,0.02 ,,0.00 ,-0.04 ,0.03 ,-0.14 ,,0.01 ,-0.02 ,288.0692909 ,38.8176702 ,29.730 ,-91.124 ,77.115 ,123.02 ,N/A ,,9.75 ,,,,,6080.0 ,4.36 ,1.09 ,1.18 ,
HIP 71832 ,0.05 ,-2.36 ,-0.34 ,-0.25 ,0.31 ,0.20 ,0.06 ,0.12 ,0.12 ,-0.03 ,0.00 ,-0.06 ,0.08 ,-0.06 ,0.03 ,-0.02 ,-0.10 ,220.4114633 ,8.1617646 ,-109.482 ,-93.214 ,20.622 ,145.26 ,thin ,G7IIIa ,4.86 ,0.992 ,-18.60 ,-4.00 ,-14.50 ,5040.0 ,,,23.00 ,
HIP 39064 ,-0.08 ,,0.06 ,0.14 ,-0.12 ,-0.03 ,-0.04 ,-0.03 ,-0.05 ,,0.01 ,-0.02 ,-0.13 ,-0.30 ,,-0.09 ,-0.21 ,119.8914152 ,20.8439287 ,-10.941 ,19.033 ,8.359 ,23.49 ,thin ,K0V ,7.65 ,0.833 ,46.00 ,-52.10 ,-15.00 ,5193.0 ,,,,
HIP 71837 ,-0.21 ,-3.30 ,-0.23 ,-0.02 ,0.02 ,0.08 ,0.12 ,0.01 ,-0.03 ,-0.06 ,-0.06 ,-0.17 ,-0.18 ,-0.34 ,-0.08 ,-0.19 ,-0.13 ,220.4313348 ,11.6606620 ,-82.576 ,-70.356 ,22.388 ,110.77 ,thick ,G8III ,5.55 ,0.941 ,-30.80 ,-112.10 ,-0.80 ,4973.0 ,2.81 ,,12.37 ,
HIP 39071 ,-0.09 ,-1.13 ,-0.04 ,-0.25 ,-0.02 ,-0.05 ,-0.02 ,-0.07 ,-0.03 ,0.00 ,-0.02 ,-0.14 ,-0.10 ,-0.24 ,-0.08 ,-0.07 ,,119.9067018 ,-43.2989344 ,-22.275 ,38.727 ,-42.099 ,61.39 ,thin ,G2/6+F ,8.28 ,0.600 ,-82.60 ,-43.90 ,-6.00 ,6015.0 ,4.36 ,1.10 ,1.15 ,
HIP 6305 ,0.03 ,,,,-0.01 ,0.10 ,-0.01 ,-0.02 ,0.11 ,0.31 ,0.09 ,-0.01 ,0.02 ,-0.07 ,0.19 ,0.01 ,0.40 ,20.2523217 ,-12.7429191 ,67.310 ,24.835 ,-16.225 ,73.56 ,N/A ,G1V ,8.76 ,0.566 ,,,,6009.0 ,4.40 ,1.11 ,1.11 ,
HIP 71844 ,-0.63 ,,,-0.41 ,-0.69 ,-0.54 ,-0.80 ,-0.64 ,-0.53 ,-0.44 ,-0.59 ,,-0.67 ,-0.81 ,,-0.70 ,-0.74 ,220.4424340 ,-43.9304167 ,-66.444 ,-56.633 ,-84.105 ,121.23 ,N/A ,F3V ,8.85 ,0.451 ,,,,6460.0 ,4.13 ,1.28 ,1.62 ,
HIP 39079 ,-0.16 ,-2.58 ,-0.30 ,-0.16 ,0.04 ,0.00 ,0.04 ,0.02 ,-0.06 ,-0.06 ,0.00 ,-0.08 ,-0.11 ,-0.18 ,-0.06 ,-0.14 ,-0.16 ,119.9339711 ,-3.6795857 ,-51.448 ,89.347 ,-6.630 ,103.31 ,thin ,K1III ,4.93 ,1.205 ,10.10 ,23.20 ,-25.50 ,4568.0 ,2.40 ,,18.37 ,
HIP 39088 ,0.07 ,,0.10 ,,0.16 ,0.10 ,0.14 ,0.06 ,0.08 ,0.15 ,0.18 ,0.30 ,0.08 ,-0.03 ,0.15 ,0.10 ,,119.9483308 ,-59.2121953 ,-13.722 ,23.817 ,-46.132 ,53.70 ,thin ,G8IV ,9.25 ,0.831 ,5.10 ,-0.10 ,-11.60 ,5285.0 ,4.50 ,0.91 ,0.89 ,
HD 188054 ,-0.59 ,,,,-0.52 ,-0.38 ,-0.56 ,-0.48 ,-0.37 ,-0.30 ,-0.44 ,-0.43 ,-0.49 ,-0.81 ,-0.38 ,-0.49 ,,297.6228700 ,55.4739919 ,106.726 ,-203.949 ,334.598 ,406.13 ,N/A ,,,,,,,4747.3 ,,,26.43 ,
HIP 6322 ,-0.40 ,,0.00 ,-0.35 ,-0.35 ,-0.44 ,-0.48 ,-0.44 ,-0.32 ,-0.08 ,-0.48 ,-0.65 ,-0.54 ,,-0.49 ,-0.47 ,,20.2916004 ,-47.5310434 ,50.882 ,18.813 ,-59.267 ,80.35 ,thin ,F8IV ,8.82 ,0.537 ,29.60 ,-17.40 ,-5.90 ,6079.6 ,4.41 ,1.19 ,1.13 ,
2MASS 19420921+5112106 ,0.25 ,,0.16 ,0.25 ,0.04 ,0.12 ,-0.06 ,0.14 ,0.28 ,,0.22 ,0.08 ,0.27 ,0.00 ,,0.18 ,0.63 ,295.5383947 ,51.2029644 ,205.919 ,-430.975 ,594.130 ,762.32 ,N/A ,,,,,,,6251.0 ,4.06 ,1.13 ,2.45 ,
HIP 104632 ,-0.23 ,,-0.15 ,-0.03 ,-0.11 ,-0.03 ,-0.17 ,-0.09 ,-0.11 ,0.01 ,-0.15 ,-0.07 ,-0.11 ,-0.34 ,-0.06 ,-0.10 ,,317.9183887 ,70.4411443 ,40.059 ,-36.173 ,151.922 ,161.22 ,thin ,K2 ,6.89 ,1.206 ,-24.70 ,-9.80 ,0.20 ,4607.4 ,,,12.26 ,
HIP 39102 ,0.18 ,-0.43 ,0.10 ,0.11 ,0.10 ,0.16 ,0.10 ,0.15 ,0.13 ,0.19 ,0.19 ,0.08 ,0.16 ,0.00 ,0.12 ,0.16 ,0.26 ,119.9948949 ,-41.7040961 ,-18.283 ,31.674 ,-32.589 ,48.99 ,thin ,G2V ,7.71 ,0.582 ,15.00 ,4.40 ,-8.40 ,6149.0 ,4.52 ,1.14 ,1.16 ,
HIP 6339 ,0.06 ,,0.13 ,0.12 ,0.08 ,0.06 ,0.12 ,0.06 ,0.08 ,0.14 ,0.14 ,0.29 ,0.07 ,-0.04 ,0.12 ,0.08 ,-0.18 ,20.3674948 ,31.3413107 ,23.946 ,8.890 ,15.556 ,29.91 ,thin ,K2V ,8.46 ,0.916 ,-67.00 ,-34.90 ,-17.40 ,5052.0 ,4.42 ,,,
2MASS 19150504+4039510 ,-0.17 ,,-0.10 ,0.03 ,-0.24 ,-0.07 ,-0.03 ,-0.08 ,-0.08 ,,0.00 ,-0.05 ,-0.15 ,-0.43 ,,-0.12 ,-0.24 ,288.7710193 ,40.6641999 ,312.360 ,-919.076 ,833.884 ,1279.70 ,N/A ,,,,,,,5627.0 ,4.12 ,0.94 ,0.85 ,
HIP 71886 ,-0.16 ,,,,-0.26 ,-0.22 ,-0.40 ,-0.18 ,-0.24 ,,-0.24 ,-0.18 ,-0.30 ,,,-0.32 ,,220.5466595 ,3.9386155 ,-83.641 ,-71.554 ,7.578 ,110.33 ,N/A ,F2V ,8.96 ,0.383 ,,,,6698.0 ,4.40 ,1.29 ,1.33 ,
HIP 71887 ,-0.26 ,,,,-0.44 ,-0.36 ,-0.44 ,-0.30 ,-0.32 ,,-0.32 ,-0.42 ,-0.39 ,,,-0.42 ,,220.5471732 ,31.9267528 ,-48.457 ,-41.455 ,39.735 ,75.14 ,N/A ,F8 ,8.76 ,0.461 ,,,,6364.0 ,4.44 ,1.16 ,1.08 ,
HIP 71889 ,0.07 ,,-0.07 ,-0.02 ,-0.15 ,0.02 ,0.00 ,-0.11 ,0.05 ,,0.05 ,-0.01 ,0.02 ,0.00 ,,0.08 ,0.02 ,220.5526445 ,39.4080360 ,-79.703 ,-68.200 ,86.190 ,135.77 ,thin ,K0 ,8.19 ,1.010 ,-33.40 ,6.90 ,-13.50 ,4807.0 ,3.17 ,,4.89 ,
HIP 104659 ,-1.01 ,-1.32 ,-0.51 ,-0.60 ,-1.00 ,-0.69 ,-0.86 ,-0.74 ,-0.86 ,-0.41 ,-0.79 ,-1.06 ,-1.07 ,-1.39 ,-0.51 ,-1.05 ,-1.00 ,317.9959673 ,17.7277475 ,23.668 ,-21.314 ,10.182 ,33.44 ,thick ,G5VFe-2.5CH-1.5 ,7.37 ,0.525 ,88.90 ,-112.90 ,-56.40 ,5948.0 ,4.30 ,1.06 ,1.00 ,
HIP 104660 ,-0.80 ,-2.25 ,,-0.10 ,-0.72 ,-0.37 ,-0.57 ,-0.49 ,-0.42 ,-0.62 ,-0.53 ,-0.76 ,-0.78 ,-1.14 ,-0.64 ,-0.87 ,,317.9980180 ,24.1681640 ,36.347 ,-32.729 ,21.949 ,53.61 ,thick ,G1.V ,8.05 ,0.595 ,-125.80 ,-83.00 ,-35.20 ,5768.0 ,4.21 ,0.99 ,1.30 ,
HIP 104672 ,0.00 ,,,-0.13 ,-0.14 ,0.06 ,-0.11 ,-0.06 ,-0.01 ,0.03 ,-0.09 ,0.18 ,-0.09 ,-0.38 ,,-0.08 ,-0.12 ,318.0315778 ,10.6379908 ,57.011 ,-51.276 ,14.403 ,78.02 ,thin ,F8 ,8.08 ,0.560 ,-70.90 ,-52.70 ,-14.70 ,6148.0 ,4.07 ,1.16 ,1.53 ,
HIP 71908 ,-2.06 ,,,,,,,-4.33 ,0.17 ,,-6.79 ,,-2.58 ,0.47 ,0.55 ,0.16 ,0.98 ,220.6267527 ,-64.9751330 ,-5.099 ,-4.374 ,-14.390 ,15.88 ,thin ,A7VpSrCrEuKn ,3.18 ,0.256 ,-10.70 ,-19.70 ,-11.00 ,4730.0 ,,,,
HIP 6376 ,0.17 ,,-0.09 ,-0.10 ,0.00 ,0.07 ,0.02 ,-0.04 ,0.13 ,,0.08 ,0.06 ,0.12 ,0.15 ,,0.17 ,0.28 ,20.4929050 ,12.6041666 ,73.689 ,27.541 ,17.590 ,80.61 ,thin ,K0 ,6.98 ,0.953 ,-12.10 ,-6.50 ,-3.30 ,4926.0 ,3.30 ,,4.65 ,
HIP 6379 ,-0.18 ,-3.58 ,-0.18 ,-0.16 ,-0.22 ,-0.02 ,-0.13 ,-0.14 ,-0.12 ,0.02 ,-0.07 ,-0.10 ,-0.10 ,-0.32 ,-0.02 ,-0.18 ,-0.21 ,20.4963072 ,76.7102884 ,3.660 ,1.368 ,16.542 ,17.00 ,thin ,K0V ,7.17 ,0.826 ,14.50 ,-16.70 ,-8.50 ,5177.0 ,4.58 ,0.83 ,0.78 ,
HIP 104684 ,-0.28 ,,,,-0.10 ,0.01 ,-0.17 ,-0.03 ,-0.16 ,,-0.18 ,,-0.29 ,,,-0.26 ,,318.0732644 ,-8.3569045 ,336.471 ,-302.182 ,-66.434 ,457.10 ,N/A ,K0IIIBa7 ,8.95 ,1.082 ,,,,4912.1 ,,,10.69 ,
HIP 104687 ,0.13 ,,0.01 ,0.18 ,-0.05 ,0.06 ,0.03 ,0.10 ,0.14 ,,0.11 ,0.13 ,0.14 ,-0.05 ,0.05 ,0.09 ,,318.0941925 ,-15.0001011 ,33.378 ,-29.954 ,-12.017 ,46.43 ,thin ,G3V ,7.44 ,0.654 ,-22.80 ,-17.90 ,-2.60 ,5681.8 ,4.42 ,1.02 ,1.03 ,
HIP 39157 ,-0.63 ,,-0.36 ,-0.14 ,-0.54 ,-0.34 ,-0.32 ,-0.40 ,-0.44 ,-0.28 ,-0.28 ,-0.42 ,-0.54 ,-0.84 ,-0.29 ,-0.58 ,-0.48 ,120.1338739 ,29.2123542 ,-7.469 ,12.867 ,8.319 ,17.05 ,thick ,K0VFe-1.3 ,7.00 ,0.716 ,-13.20 ,-89.00 ,-29.80 ,5500.0 ,5.00 ,0.89 ,0.82 ,
HIP 6390 ,0.10 ,,0.20 ,,0.10 ,0.08 ,0.18 ,0.07 ,0.16 ,0.35 ,0.31 ,0.49 ,0.20 ,0.04 ,0.18 ,0.16 ,,20.5317234 ,-26.8930993 ,25.653 ,9.607 ,-13.893 ,30.71 ,thin ,K3-V ,8.76 ,0.970 ,23.20 ,-21.70 ,-22.10 ,5033.0 ,4.54 ,0.80 ,0.79 ,
2MASS 19290877+4204208 ,0.06 ,,0.12 ,0.19 ,-0.09 ,0.08 ,0.09 ,0.02 ,0.11 ,,0.12 ,0.10 ,0.07 ,-0.09 ,,0.05 ,0.04 ,292.2866038 ,42.0724395 ,174.930 ,-426.807 ,416.381 ,621.40 ,N/A ,,,,,,,5224.0 ,4.44 ,0.83 ,0.89 ,
HIP 71939 ,-0.21 ,,,,-0.30 ,-0.25 ,-0.37 ,-0.22 ,-0.27 ,,-0.24 ,-0.34 ,-0.35 ,,,-0.39 ,,220.7025263 ,4.0457433 ,-63.849 ,-54.924 ,5.957 ,84.43 ,N/A ,F6V ,8.81 ,0.477 ,,,,6331.0 ,4.44 ,1.24 ,1.12 ,
HIP 6405 ,-0.10 ,-1.57 ,-0.25 ,-0.31 ,-0.17 ,,,-0.14 ,,,-0.08 ,-0.38 ,,,-0.36 ,-0.12 ,,20.5744899 ,18.6827076 ,23.100 ,8.671 ,8.343 ,26.05 ,thin ,G2V ,6.96 ,0.627 ,-57.10 ,-37.40 ,4.00 ,5766.0 ,4.46 ,1.03 ,0.99 ,
2MASS 19053655+3844187 ,0.19 ,,0.14 ,0.10 ,0.10 ,0.15 ,0.07 ,0.17 ,0.20 ,,0.17 ,0.29 ,0.16 ,0.10 ,,0.22 ,0.22 ,286.4023213 ,38.7385412 ,144.032 ,-489.306 ,409.202 ,653.92 ,N/A ,,,,,,,6034.0 ,4.36 ,1.15 ,1.65 ,
HIP 6407 ,-0.02 ,-1.51 ,-0.09 ,-0.16 ,-0.12 ,-0.03 ,-0.09 ,-0.10 ,-0.01 ,0.01 ,-0.03 ,-0.11 ,-0.06 ,-0.17 ,-0.01 ,-0.11 ,,20.5780008 ,3.5131293 ,46.974 ,17.636 ,3.080 ,50.27 ,N/A ,G5V ,8.61 ,0.638 ,,,,5775.0 ,4.50 ,1.03 ,0.89 ,
HIP 6411 ,0.17 ,-2.92 ,-0.08 ,0.04 ,0.30 ,0.27 ,0.42 ,0.26 ,0.22 ,0.17 ,0.16 ,0.16 ,0.29 ,0.16 ,0.23 ,0.21 ,0.24 ,20.5850836 ,45.5287767 ,44.397 ,16.675 ,48.309 ,67.70 ,thin ,K0-IIIb ,4.87 ,1.077 ,-0.50 ,-14.40 ,7.50 ,4861.0 ,2.90 ,,11.24 ,
HIP 39180 ,0.07 ,-3.19 ,-0.13 ,0.01 ,0.09 ,0.19 ,0.22 ,0.18 ,0.06 ,0.14 ,0.08 ,0.00 ,0.10 ,0.11 ,0.20 ,0.08 ,0.00 ,120.2004286 ,19.8162150 ,-62.470 ,107.332 ,44.750 ,132.00 ,thin ,K1III ,6.29 ,1.109 ,-21.10 ,-15.30 ,14.80 ,4710.0 ,2.40 ,,11.63 ,
HIP 104716 ,-0.26 ,,-0.40 ,-0.16 ,-0.38 ,-0.16 ,-0.39 ,-0.19 ,-0.27 ,-0.13 ,-0.34 ,-0.25 ,-0.29 ,-0.54 ,-0.24 ,-0.30 ,,318.1891351 ,84.2586581 ,22.030 ,-19.705 ,293.978 ,295.46 ,thin ,K0III ,6.90 ,1.208 ,-15.50 ,6.80 ,-18.90 ,4827.1 ,,,24.91 ,
HIP 39186 ,0.17 ,,0.18 ,-0.01 ,0.13 ,0.11 ,0.08 ,0.16 ,0.09 ,,0.12 ,0.14 ,0.13 ,,0.11 ,0.20 ,,120.2263011 ,-27.2265408 ,-30.185 ,51.809 ,-30.851 ,67.43 ,N/A ,G2/3V ,8.50 ,0.638 ,,,,5757.9 ,4.29 ,1.06 ,1.21 ,
HIP 71957 ,0.03 ,-0.38 ,0.04 ,0.12 ,-0.18 ,-0.02 ,-0.13 ,-0.10 ,0.03 ,0.13 ,-0.10 ,0.07 ,-0.10 ,-0.42 ,0.10 ,-0.20 ,-0.13 ,220.7650999 ,-5.6582014 ,-13.751 ,-11.855 ,-1.799 ,18.24 ,thin ,F2V ,3.88 ,0.385 ,20.60 ,-15.20 ,-14.60 ,6820.0 ,3.97 ,1.42 ,2.04 ,
HIP 39191 ,0.12 ,-2.02 ,-0.27 ,0.21 ,0.68 ,0.51 ,0.49 ,0.42 ,0.40 ,0.39 ,0.39 ,0.46 ,0.40 ,0.30 ,0.41 ,0.33 ,0.43 ,120.2328039 ,25.3928374 ,-82.914 ,142.272 ,78.166 ,182.28 ,thin ,K1II-III ,5.87 ,1.021 ,5.30 ,3.00 ,16.60 ,4940.7 ,,,17.67 ,
