HIP,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_x,f_y,f_z,f_disk
104562,-0.15,,,,-0.05,-0.01,-0.13,-0.09,-0.02,0.07,-0.06,0.02,0.0,-0.29,-0.02,-0.06,,65.875,-59.915,206.858,thin 
71803,0.25,-2.16,0.26,0.17,0.4,0.31,0.27,0.26,0.24,0.35,0.24,0.21,0.25,0.22,0.35,0.31,0.22,-41.003,-34.795,-4.653,thin 
71806,-0.4,,-0.33,-0.19,-0.28,-0.29,-0.1,-0.33,-0.3,-0.32,-0.3,-0.45,-0.43,-0.66,-0.38,-0.42,,-99.741,-84.671,7.885,thin 
39039,0.38,,0.42,,0.57,0.4,0.47,0.41,0.32,0.57,0.5,0.78,0.36,0.38,0.64,0.45,,-16.489,28.781,-42.688,N/A 
6276,0.06,,-0.01,-0.21,-0.06,-0.02,-0.09,-0.03,0.06,0.03,0.02,-0.02,0.04,-0.08,0.0,-0.03,0.11,32.415,11.884,-7.004,thin 
71813,0.05,,,0.09,,-0.04,-0.01,0.05,0.04,,0.07,,,,,0.0,,-31.618,-26.855,23.05,thin 
71819,-0.11,-1.64,0.04,0.08,-0.08,0.01,-0.02,-0.04,0.0,0.09,-0.01,-0.14,-0.07,-0.24,-0.04,-0.08,0.29,-46.319,-39.379,14.71,thick 
104587,0.03,,-0.01,-0.06,-0.13,0.03,-0.01,0.02,0.04,,0.02,0.07,0.03,-0.1,,0.04,-0.03,16.289,-14.772,22.342,thin 
71832,0.05,-2.36,-0.34,-0.25,0.31,0.2,0.06,0.12,0.12,-0.03,0.0,-0.06,0.08,-0.06,0.03,-0.02,-0.1,-109.482,-93.214,20.622,thin 
39064,-0.08,,0.06,0.14,-0.12,-0.03,-0.04,-0.03,-0.05,,0.01,-0.02,-0.13,-0.3,,-0.09,-0.21,-10.941,19.033,8.359,thin 
71837,-0.21,-3.3,-0.23,-0.02,0.02,0.08,0.12,0.01,-0.03,-0.06,-0.06,-0.17,-0.18,-0.34,-0.08,-0.19,-0.13,-82.576,-70.356,22.388,thick 
39071,-0.09,-1.13,-0.04,-0.25,-0.02,-0.05,-0.02,-0.07,-0.03,0.0,-0.02,-0.14,-0.1,-0.24,-0.08,-0.07,,-22.275,38.727,-42.099,thin 
6305,0.03,,,,-0.01,0.1,-0.01,-0.02,0.11,0.31,0.09,-0.01,0.02,-0.07,0.19,0.01,0.4,67.31,24.835,-16.225,N/A 
71844,-0.63,,,-0.41,-0.69,-0.54,-0.8,-0.64,-0.53,-0.44,-0.59,,-0.67,-0.81,,-0.7,-0.74,-66.444,-56.633,-84.105,N/A 
39079,-0.16,-2.58,-0.3,-0.16,0.04,0.0,0.04,0.02,-0.06,-0.06,0.0,-0.08,-0.11,-0.18,-0.06,-0.14,-0.16,-51.448,89.347,-6.63,thin 
39088,0.07,,0.1,,0.16,0.1,0.14,0.06,0.08,0.15,0.18,0.3,0.08,-0.03,0.15,0.1,,-13.722,23.817,-46.132,thin 
6322,-0.4,,0.0,-0.35,-0.35,-0.44,-0.48,-0.44,-0.32,-0.08,-0.48,-0.65,-0.54,,-0.49,-0.47,,50.882,18.813,-59.267,thin 
104632,-0.23,,-0.15,-0.03,-0.11,-0.03,-0.17,-0.09,-0.11,0.01,-0.15,-0.07,-0.11,-0.34,-0.06,-0.1,,40.059,-36.173,151.922,thin 
39102,0.18,-0.43,0.1,0.11,0.1,0.16,0.1,0.15,0.13,0.19,0.19,0.08,0.16,0.0,0.12,0.16,0.26,-18.283,31.674,-32.589,thin 
6339,0.06,,0.13,0.12,0.08,0.06,0.12,0.06,0.08,0.14,0.14,0.29,0.07,-0.04,0.12,0.08,-0.18,23.946,8.89,15.556,thin 
71886,-0.16,,,,-0.26,-0.22,-0.4,-0.18,-0.24,,-0.24,-0.18,-0.3,,,-0.32,,-83.641,-71.554,7.578,N/A 
71887,-0.26,,,,-0.44,-0.36,-0.44,-0.3,-0.32,,-0.32,-0.42,-0.39,,,-0.42,,-48.457,-41.455,39.735,N/A 
71889,0.07,,-0.07,-0.02,-0.15,0.02,0.0,-0.11,0.05,,0.05,-0.01,0.02,0.0,,0.08,0.02,-79.703,-68.2,86.19,thin 
104659,-1.01,-1.32,-0.51,-0.6,-1.0,-0.69,-0.86,-0.74,-0.86,-0.41,-0.79,-1.06,-1.07,-1.39,-0.51,-1.05,-1.0,23.668,-21.314,10.182,thick 
104660,-0.8,-2.25,,-0.1,-0.72,-0.37,-0.57,-0.49,-0.42,-0.62,-0.53,-0.76,-0.78,-1.14,-0.64,-0.87,,36.347,-32.729,21.949,thick 
104672,0.0,,,-0.13,-0.14,0.06,-0.11,-0.06,-0.01,0.03,-0.09,0.18,-0.09,-0.38,,-0.08,-0.12,57.011,-51.276,14.403,thin 
71908,-2.06,,,,,,,-4.33,0.17,,-6.79,,-2.58,0.47,0.55,0.16,0.98,-5.099,-4.374,-14.39,thin 
6376,0.17,,-0.09,-0.1,0.0,0.07,0.02,-0.04,0.13,,0.08,0.06,0.12,0.15,,0.17,0.28,73.689,27.541,17.59,thin 
6379,-0.18,-3.58,-0.18,-0.16,-0.22,-0.02,-0.13,-0.14,-0.12,0.02,-0.07,-0.1,-0.1,-0.32,-0.02,-0.18,-0.21,3.66,1.368,16.542,thin 
104684,-0.28,,,,-0.1,0.01,-0.17,-0.03,-0.16,,-0.18,,-0.29,,,-0.26,,336.471,-302.182,-66.434,N/A 
104687,0.13,,0.01,0.18,-0.05,0.06,0.03,0.1,0.14,,0.11,0.13,0.14,-0.05,0.05,0.09,,33.378,-29.954,-12.017,thin 
39157,-0.63,,-0.36,-0.14,-0.54,-0.34,-0.32,-0.4,-0.44,-0.28,-0.28,-0.42,-0.54,-0.84,-0.29,-0.58,-0.48,-7.469,12.867,8.319,thick 
6390,0.1,,0.2,,0.1,0.08,0.18,0.07,0.16,0.35,0.31,0.49,0.2,0.04,0.18,0.16,,25.653,9.607,-13.893,thin 
71939,-0.21,,,,-0.3,-0.25,-0.37,-0.22,-0.27,,-0.24,-0.34,-0.35,,,-0.39,,-63.849,-54.924,5.957,N/A 
6405,-0.1,-1.57,-0.25,-0.31,-0.17,,,-0.14,,,-0.08,-0.38,,,-0.36,-0.12,,23.1,8.671,8.343,thin 
6407,-0.02,-1.51,-0.09,-0.16,-0.12,-0.03,-0.09,-0.1,-0.01,0.01,-0.03,-0.11,-0.06,-0.17,-0.01,-0.11,,46.974,17.636,3.08,N/A 
6411,0.17,-2.92,-0.08,0.04,0.3,0.27,0.42,0.26,0.22,0.17,0.16,0.16,0.29,0.16,0.23,0.21,0.24,44.397,16.675,48.309,thin 
