HIP,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_x,f_y,f_z,f_disk,Exo,Multi,discoverymethod,MaxPMass,StarMass
96507,0.18,-0.79,0.13,0.29,0.21,0.2,0.17,0.2,0.22,0.3,0.2,0.11,0.11,0.09,0.17,0.18,0.35,18.763,-41.558,24.757,thin ,3.0,1.0,Radial Velocity,1.01,1.3
96528,0.18,-1.42,0.08,0.03,0.32,0.21,,0.08,0.22,,0.16,0.03,0.14,,,0.07,,41.612,-91.88,86.416,thin ,0.0,0.0,None,0.0,0.0
96536,0.11,,0.07,0.04,0.06,0.12,0.02,0.06,0.11,0.18,0.06,0.02,0.02,-0.1,0.16,0.04,0.11,12.657,-27.91,-7.813,thin ,0.0,0.0,None,0.0,0.0
96561,0.06,,0.03,0.02,-0.09,0.03,-0.04,0.09,0.05,,0.05,0.08,0.07,-0.04,,0.07,0.08,12.668,-27.842,29.155,N/A ,0.0,0.0,None,0.0,0.0
96595,0.05,,,,-0.03,0.06,-0.1,0.06,-0.06,0.08,-0.08,0.01,-0.02,-0.23,-0.03,-0.04,,54.746,-119.862,164.102,thin ,0.0,0.0,None,0.0,0.0
96662,-0.33,,-0.54,-0.21,-0.49,-0.37,-0.62,-0.47,-0.46,-0.31,-0.49,-0.42,-0.47,-0.72,-0.44,-0.5,-0.5,28.332,-61.335,172.866,N/A ,0.0,0.0,None,0.0,0.0
96683,-0.28,-2.9,-0.4,-0.25,0.05,-0.16,0.02,-0.05,-0.11,-0.3,-0.23,-0.26,-0.08,-0.27,-0.18,-0.24,0.0,29.545,-63.812,40.85,thin ,0.0,0.0,None,0.0,0.0
96706,0.08,-2.57,-0.26,-0.09,0.24,0.15,0.2,0.19,0.17,0.07,0.08,-0.03,0.13,0.02,0.08,0.05,0.17,41.888,-90.264,102.892,thin ,0.0,0.0,None,0.0,0.0
96755,-0.49,,-0.33,-0.19,-0.49,-0.29,-0.48,-0.37,-0.25,-0.27,-0.4,-0.34,-0.4,-0.7,-0.36,-0.38,,46.134,-98.831,161.138,thin ,0.0,0.0,None,0.0,0.0
96781,-0.5,,,,-0.28,-0.31,-0.32,-0.35,-0.36,-0.49,-0.34,-0.32,-0.47,-0.53,-0.41,-0.47,,31.992,-68.365,-105.499,thin ,0.0,0.0,None,0.0,0.0
