HIP,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_x,f_y,f_z,f_disk,Exo,Multi,discoverymethod,MaxPMass,StarMass
29692,0.13,-3.41,-0.06,-0.03,0.16,0.36,0.24,0.18,0.1,0.16,0.13,0.17,0.18,0.15,0.25,0.16,0.16,-3.958,59.215,-19.831,thin ,0.0,0.0,None,0.0,0.0
29696,-0.28,-3.28,-0.41,-0.26,-0.26,-0.01,0.03,-0.08,-0.12,-0.22,-0.23,-0.32,-0.22,-0.29,-0.14,-0.26,-0.42,-3.035,45.17,25.611,thin ,0.0,0.0,None,0.0,0.0
29716,-0.14,,-0.04,0.01,-0.13,-0.02,-0.17,-0.13,0.0,0.12,-0.06,-0.13,-0.12,-0.3,-0.05,-0.15,0.28,-2.464,36.212,-0.324,thin ,0.0,0.0,None,0.0,0.0
29722,0.09,,0.03,-0.04,0.05,0.03,-0.06,0.09,0.03,,0.05,0.03,0.03,,-0.05,0.09,,-5.314,77.743,-28.062,thin ,0.0,0.0,None,0.0,0.0
29740,-0.45,,,,-0.08,0.05,-0.06,-0.22,-0.01,,-0.37,,,,,-0.35,,-33.107,479.942,-20.042,N/A ,0.0,0.0,None,0.0,0.0
29761,0.0,,0.08,0.13,-0.03,0.16,0.14,0.1,0.18,0.26,0.2,0.17,0.13,-0.13,0.29,0.07,-0.09,-0.602,8.581,24.676,thin ,0.0,0.0,None,0.0,0.0
29788,0.13,-0.69,0.17,0.09,0.14,0.15,0.09,0.15,0.19,0.19,0.15,0.09,0.13,0.03,0.16,0.17,0.1,-1.312,18.399,-30.96,thin ,0.0,0.0,None,0.0,0.0
29789,0.07,-2.73,-0.23,-0.06,0.27,0.12,0.23,0.19,0.2,0.11,0.08,-0.01,0.11,-0.02,0.13,0.07,0.13,-9.39,131.667,58.688,thin ,0.0,0.0,None,0.0,0.0
29792,0.08,,,-0.16,-0.1,,0.01,0.0,0.05,0.15,0.02,0.11,0.07,-0.07,0.1,0.01,,-0.621,8.69,-59.24,thin ,0.0,0.0,None,0.0,0.0
29804,0.47,,0.43,0.26,,0.44,,0.42,0.4,,0.46,,,,,0.56,,-2.039,28.235,-24.205,N/A ,0.0,0.0,None,0.0,0.0
29807,0.08,-2.81,-0.19,-0.09,0.46,0.28,0.29,0.26,0.26,0.04,0.07,0.13,0.16,0.15,0.1,0.11,0.06,-3.489,48.227,-34.034,thin ,0.0,0.0,None,0.0,0.0
29843,0.15,,0.14,0.21,0.16,0.1,0.04,0.1,0.15,0.44,0.14,0.04,0.12,-0.02,0.23,0.12,0.34,-2.758,36.983,-15.525,thin ,0.0,0.0,None,0.0,0.0
29860,-0.06,-1.15,0.04,-0.06,-0.06,0.06,-0.05,-0.04,0.0,0.1,0.0,-0.06,-0.02,-0.14,-0.03,-0.04,0.11,-1.447,19.162,1.715,thin ,0.0,0.0,None,0.0,0.0
29949,-0.03,-2.95,0.04,0.11,0.24,0.33,0.44,0.34,0.16,0.15,0.21,0.23,0.19,0.03,0.22,0.2,0.08,-6.415,80.255,84.428,thin ,0.0,0.0,None,0.0,0.0
29957,-0.23,,,,-0.27,-0.2,-0.3,-0.2,-0.21,0.05,-0.02,-0.15,-0.2,-0.3,-0.07,-0.13,-0.2,-1.779,22.154,72.471,N/A ,0.0,0.0,None,0.0,0.0
29962,-0.19,,-0.13,,0.19,0.17,,-0.07,0.26,,0.02,,-0.06,,0.15,0.08,,-10.426,129.302,150.209,thin ,0.0,0.0,None,0.0,0.0
29982,0.07,-1.9,-0.25,0.02,0.05,0.08,0.12,0.06,0.15,0.13,0.13,0.08,0.12,-0.02,0.11,0.05,0.27,-7.128,87.296,13.946,thin ,0.0,0.0,None,0.0,0.0
29991,-0.15,-0.78,,,-0.24,-0.04,-0.25,-0.13,-0.08,0.47,-0.08,-0.08,-0.14,-0.32,0.04,-0.19,0.07,-5.897,71.699,8.484,thin ,0.0,0.0,None,0.0,0.0
30023,0.08,,0.05,0.08,-0.05,0.03,-0.06,0.04,0.09,,0.06,0.08,0.08,-0.1,,0.02,0.1,-1.84,22.054,24.062,thin ,0.0,0.0,None,0.0,0.0
30037,0.05,-2.54,0.04,0.0,-0.04,0.08,-0.01,0.0,0.04,0.1,0.04,-0.01,0.06,0.04,0.11,0.06,0.13,-2.071,24.6,-63.75,N/A ,0.0,0.0,None,0.0,0.0
30057,0.32,-1.3,0.29,0.34,0.32,0.22,0.24,0.27,0.32,0.38,0.27,0.27,0.25,0.2,0.38,0.33,0.32,-5.397,63.029,55.17,thin ,3.0,1.0,Radial Velocity,2.55,1.32
30064,-0.2,,,,-0.12,-0.09,-0.09,-0.09,-0.08,-0.1,-0.06,-0.05,-0.17,-0.31,-0.08,-0.19,,-4.528,52.701,-107.609,N/A ,0.0,0.0,None,0.0,0.0
30067,-0.22,-0.95,-0.08,-0.13,-0.32,-0.15,-0.32,-0.21,-0.2,,-0.2,-0.18,-0.24,-0.47,-0.27,-0.27,-0.24,-2.242,26.053,7.505,thin ,0.0,0.0,None,0.0,0.0
30104,0.16,-1.81,0.21,0.11,0.19,0.22,0.2,0.17,0.21,0.25,0.19,0.16,0.18,0.09,0.21,0.18,0.13,-1.452,16.509,-18.891,thin ,0.0,0.0,None,0.0,0.0
30114,0.07,,0.12,0.16,0.03,0.18,0.12,0.07,0.09,0.11,0.08,0.0,0.06,-0.05,0.06,0.03,0.09,-4.582,51.749,-9.84,thin ,1.0,1.0,Radial Velocity,0.58,1.2
30129,0.02,-0.48,,,-0.04,0.04,-0.09,-0.06,0.04,0.29,0.17,0.13,0.05,-0.11,0.25,0.04,-0.19,-0.899,10.065,59.468,thin ,0.0,0.0,None,0.0,0.0
30142,-0.5,,,,,,,-0.43,,,-0.5,-0.43,,,,-0.44,,-30.023,333.298,160.395,N/A ,0.0,0.0,None,0.0,0.0
30158,0.04,-2.61,0.03,-0.03,-0.02,0.14,0.07,0.02,0.02,0.1,0.03,-0.02,0.05,-0.01,0.09,0.04,0.04,-3.438,37.81,-37.688,thin ,0.0,0.0,None,0.0,0.0
30170,-0.33,,,,-0.16,-0.05,-0.02,-0.12,-0.15,0.03,0.0,0.0,-0.27,-0.49,-0.09,-0.27,,-2.277,24.905,-129.467,N/A ,0.0,0.0,None,0.0,0.0
30179,0.22,,0.1,0.05,0.1,-0.06,0.07,0.19,0.1,,0.19,0.21,0.22,,0.14,0.26,,-1.176,12.794,-62.66,thin ,0.0,0.0,None,0.0,0.0
30220,0.07,,0.05,0.0,-0.01,0.06,0.03,0.08,0.06,,0.05,0.1,0.06,-0.05,,0.08,-0.1,-3.857,41.067,12.843,thin ,0.0,0.0,None,0.0,0.0
30225,-0.02,,0.11,0.05,-0.03,-0.04,0.0,-0.04,0.04,0.1,0.09,0.24,0.02,-0.14,0.0,-0.05,0.11,-2.495,26.452,-10.851,thin ,0.0,0.0,None,0.0,0.0
30232,-0.16,,-0.11,,-0.28,-0.1,-0.13,-0.1,-0.18,,-0.14,-0.16,-0.25,,-0.21,-0.17,,-3.691,39.001,-12.855,thin ,0.0,0.0,None,0.0,0.0
30243,0.3,,0.36,0.17,0.44,0.38,0.36,0.32,0.29,0.46,0.32,0.31,0.32,0.34,0.47,0.4,0.27,-4.065,42.756,-0.404,thin ,0.0,0.0,None,0.0,0.0
30260,0.07,,0.03,,0.18,0.04,0.04,0.08,0.09,0.09,0.14,0.18,0.08,-0.07,0.04,0.04,,-3.827,39.836,-34.642,thin ,0.0,0.0,None,0.0,0.0
30314,0.01,,-0.01,0.07,-0.09,0.17,,0.08,0.06,0.23,0.04,0.01,0.01,-0.23,-0.01,0.0,0.44,-1.163,11.798,-20.715,thin ,0.0,0.0,None,0.0,0.0
30321,-0.14,-3.54,-0.29,-0.25,0.22,0.04,0.15,0.17,0.17,-0.26,-0.07,0.01,0.03,-0.27,-0.11,-0.08,-0.14,-6.655,67.159,-185.26,thin ,0.0,0.0,None,0.0,0.0
30343,0.04,,0.04,0.1,,,,-0.1,0.06,,,,,,,,,-6.542,65.085,27.113,thin ,0.0,0.0,None,0.0,0.0
30344,0.11,-1.51,,-0.01,-0.02,0.06,-0.04,0.03,0.06,0.06,0.08,-0.04,0.05,-0.04,0.06,0.03,,-2.676,26.621,-12.225,thin ,0.0,0.0,None,0.0,0.0
30355,-0.16,,,,-0.23,-0.09,-0.3,-0.19,-0.06,0.03,-0.14,-0.15,-0.12,-0.3,-0.06,-0.14,-0.12,-2.092,20.688,76.777,thin ,0.0,0.0,None,0.0,0.0
30376,-0.04,,,,0.1,0.02,0.01,0.06,0.05,0.06,0.04,0.06,-0.01,-0.18,-0.07,-0.05,,-9.472,93.085,-57.991,thin ,0.0,0.0,None,0.0,0.0
30377,0.37,,0.37,0.38,0.41,0.36,0.34,0.34,0.29,0.43,0.3,0.34,0.37,0.38,0.4,0.34,0.32,-4.322,42.472,-45.499,thin ,0.0,0.0,None,0.0,0.0
30444,0.01,-3.28,,,0.16,-0.01,0.08,0.07,0.08,0.14,0.1,0.13,0.03,0.2,0.07,-0.05,,-8.297,78.882,-59.138,thin ,0.0,0.0,None,0.0,0.0
30455,0.08,,,,0.31,0.12,0.17,0.18,0.16,0.26,0.16,0.22,0.13,0.0,0.19,0.09,,-12.208,115.655,-86.695,N/A ,0.0,0.0,None,0.0,0.0
30476,-0.01,-3.01,0.09,0.04,-0.02,0.13,0.07,0.02,0.06,0.12,0.11,-0.03,-0.02,-0.16,0.07,-0.02,-0.11,-2.168,20.282,-18.919,thin ,0.0,0.0,None,0.0,0.0
30480,0.24,-2.21,0.39,0.2,0.27,0.26,0.21,0.2,0.21,0.35,0.19,0.16,0.18,0.09,0.37,0.24,0.48,-1.531,14.298,-28.753,thin ,0.0,0.0,None,0.0,0.0
30502,-0.02,-2.33,-0.09,-0.11,-0.11,0.04,-0.06,-0.06,-0.03,0.04,-0.02,-0.12,-0.07,-0.14,0.02,-0.06,0.07,-4.541,41.924,-39.885,thin ,0.0,0.0,None,0.0,0.0
30503,0.08,-1.2,0.03,-0.04,0.02,0.12,0.03,0.06,0.11,0.12,0.08,0.0,0.06,-0.06,0.07,0.05,0.1,-2.066,19.073,-10.538,thin ,1.0,2.0,Radial Velocity,0.0375,1.01
30513,0.17,,,,0.23,0.21,0.14,0.17,0.22,0.86,0.25,0.14,0.2,0.06,0.42,0.15,0.5,-5.176,47.578,4.079,thin ,0.0,0.0,None,0.0,0.0
30516,0.32,,0.3,,0.21,0.28,0.24,0.28,0.21,,0.33,0.34,0.28,,0.39,0.39,,-3.452,31.7,-82.223,thin ,0.0,0.0,None,0.0,0.0
30517,-0.02,-2.75,-0.19,-0.04,0.07,0.16,0.2,0.14,0.08,-0.02,0.03,-0.03,0.02,-0.06,0.04,0.01,-0.08,-13.346,122.452,35.453,thin ,0.0,0.0,None,0.0,0.0
30545,-0.02,-0.78,0.03,-0.02,-0.13,0.0,-0.06,-0.02,0.04,0.24,-0.02,-0.11,-0.03,-0.18,-0.03,-0.07,0.0,-3.647,32.938,-0.547,thin ,0.0,0.0,None,0.0,0.0
30552,-0.04,-1.41,-0.01,-0.08,-0.18,-0.03,-0.15,-0.06,0.0,,-0.02,-0.03,-0.04,-0.24,,-0.08,0.04,-3.592,32.36,6.466,thin ,0.0,0.0,None,0.0,0.0
30565,-0.28,-3.1,-0.47,-0.27,-0.17,-0.09,-0.05,-0.14,-0.16,-0.21,-0.17,-0.23,-0.29,-0.48,-0.2,-0.3,-0.42,-3.288,29.453,-80.075,thin ,0.0,0.0,None,0.0,0.0
30579,-0.15,,-0.06,-0.13,-0.1,-0.04,-0.04,-0.09,-0.09,-0.07,-0.01,-0.04,-0.11,-0.22,-0.08,-0.13,-0.04,-3.253,28.955,-17.842,thin ,1.0,2.0,Radial Velocity,0.1893,0.82
30619,-0.55,,,,-0.32,0.0,0.15,-0.23,-0.5,-1.0,-0.65,-0.5,,-0.65,,-0.46,,-22.879,200.111,390.068,N/A ,0.0,0.0,None,0.0,0.0
30630,-0.17,-3.78,0.15,0.15,-0.37,-0.06,-0.22,-0.08,-0.21,-0.29,-0.18,-0.34,-0.1,-0.21,0.05,-0.14,-0.34,-1.592,13.883,4.745,thin ,0.0,0.0,None,0.0,0.0
30664,0.06,,,,0.23,0.11,0.15,0.15,0.14,0.22,0.15,0.19,0.1,0.29,0.16,0.05,,-17.259,147.795,-98.173,N/A ,0.0,0.0,None,0.0,0.0
30687,0.0,,-0.13,-0.05,-0.32,-0.09,-0.25,-0.19,0.06,,0.01,-0.04,-0.03,-0.3,,-0.07,0.23,-12.822,108.666,34.398,thin ,0.0,0.0,None,0.0,0.0
30711,0.08,,0.1,-0.03,-0.04,0.14,0.0,0.02,0.12,0.39,0.12,0.02,0.04,-0.13,0.24,0.04,0.15,-3.129,26.25,-12.812,thin ,0.0,0.0,None,0.0,0.0
30728,-0.04,-3.06,-0.16,-0.06,0.0,0.1,0.18,0.1,0.06,-0.01,0.0,-0.08,-0.02,-0.07,0.08,-0.01,0.02,-10.763,89.791,4.594,thin ,0.0,0.0,None,0.0,0.0
30740,0.09,,0.17,,0.16,0.11,-0.07,0.15,0.11,,0.15,,-0.08,,,0.12,,-5.403,44.739,181.017,N/A ,0.0,0.0,None,0.0,0.0
30741,-0.22,,,,-0.16,0.01,-0.06,-0.06,-0.2,-0.24,-0.27,-0.53,,-0.47,,-0.23,,-18.22,150.606,96.881,thin ,0.0,0.0,None,0.0,0.0
30804,0.37,,,,0.34,0.43,0.31,0.27,0.14,,0.22,,0.14,,,0.23,,-10.26,82.626,15.137,thin ,0.0,0.0,None,0.0,0.0
30815,0.12,,-0.19,-0.11,0.09,0.07,-0.05,-0.03,0.06,,0.02,-0.06,0.0,-0.04,,0.03,0.28,-8.688,69.584,20.424,thin ,0.0,0.0,None,0.0,0.0
30860,0.33,,0.25,0.19,0.2,0.35,0.31,0.28,0.28,0.41,0.31,0.24,0.26,0.19,0.38,0.29,0.29,-4.58,36.3,29.589,thin ,1.0,1.0,Radial Velocity,1.821,1.05
30862,-0.46,,,,-0.37,,,-0.38,,,-0.35,,,,,-0.48,,-2.456,19.463,14.506,thin ,0.0,0.0,None,0.0,0.0
30904,0.24,,,,0.31,0.19,0.14,0.04,0.27,,0.2,,0.19,,,0.1,,-41.521,324.101,-277.892,thin ,0.0,0.0,None,0.0,0.0
30905,0.31,,0.31,0.15,0.24,0.21,0.25,0.29,0.24,0.41,0.25,0.29,0.28,0.18,0.48,0.31,0.14,-4.349,33.924,6.607,thin ,1.0,1.0,Radial Velocity,0.433,0.92
30939,0.16,,,,0.24,0.36,0.2,0.15,0.21,0.49,0.32,0.23,0.19,0.06,0.42,0.13,-0.03,-6.178,47.542,7.158,thin ,0.0,0.0,None,0.0,0.0
30979,0.09,,-0.17,,0.56,-0.3,0.22,0.07,0.16,0.65,0.35,0.61,0.14,-0.1,0.19,0.09,,-3.475,26.288,-5.544,thin ,0.0,0.0,None,0.0,0.0
31039,-0.09,-3.17,-0.24,-0.2,-0.18,-0.08,-0.16,-0.22,-0.03,,-0.08,-0.1,-0.04,-0.07,,0.0,0.21,-3.871,28.645,46.552,thin ,1.0,1.0,Radial Velocity,2.4,1.7
31061,-0.21,-2.85,-0.46,-0.31,-0.12,-0.01,-0.02,-0.09,-0.08,-0.2,-0.15,-0.19,-0.2,-0.27,-0.16,-0.24,-0.3,-15.299,112.136,-108.216,thin ,0.0,0.0,None,0.0,0.0
31083,-0.03,,0.02,0.02,-0.01,0.05,-0.03,0.03,0.02,0.15,-0.03,-0.01,0.07,-0.18,0.11,0.0,0.15,-3.952,28.701,1.473,thin ,0.0,0.0,None,0.0,0.0
31084,0.1,-3.55,-0.12,0.02,0.25,0.32,0.28,0.31,0.08,0.13,0.1,0.1,0.18,0.16,0.28,0.16,0.15,-16.89,122.57,-27.185,thin ,0.0,0.0,None,0.0,0.0
31165,-0.2,-3.2,-0.48,-0.29,-0.1,-0.02,-0.01,-0.09,-0.08,-0.23,-0.21,-0.26,-0.2,-0.28,-0.21,-0.27,-0.24,-9.977,70.199,-54.795,thin ,0.0,0.0,None,0.0,0.0
31197,0.34,,,,,,-0.16,0.43,0.38,,0.95,0.53,0.85,0.49,0.71,0.27,,-14.971,104.178,7.017,thin ,0.0,0.0,None,0.0,0.0
31205,-0.13,-2.58,0.1,-0.19,-0.1,-0.12,0.22,0.0,-0.03,-0.27,-0.22,-0.36,-0.15,-0.48,-0.22,-0.22,0.58,-17.785,123.488,-24.628,thin ,0.0,0.0,None,0.0,0.0
31241,-0.02,-2.78,,,0.12,-0.02,0.01,0.06,0.02,0.02,0.02,0.03,-0.04,-0.23,0.03,-0.1,,-16.772,115.073,-92.916,thin ,0.0,0.0,None,0.0,0.0
31246,0.27,-3.26,0.42,0.16,0.4,0.31,0.37,0.29,0.24,0.43,0.3,0.36,0.3,0.34,0.42,0.31,0.26,-4.244,29.08,2.811,thin ,2.0,1.0,Radial Velocity,0.2266,0.93
31265,-0.3,-3.28,-0.56,-0.33,-0.1,-0.15,-0.14,-0.18,-0.16,-0.24,-0.22,-0.23,-0.24,-0.45,-0.31,-0.34,-0.27,-17.611,119.85,-156.898,thin ,0.0,0.0,None,0.0,0.0
31277,0.09,-2.1,-0.1,-0.01,0.18,0.3,0.34,0.18,0.1,0.1,0.08,0.12,0.16,0.06,0.14,0.12,0.1,-12.51,84.71,21.596,thin ,0.0,0.0,None,0.0,0.0
31397,0.16,,0.4,0.27,0.19,0.16,0.07,0.17,0.08,,0.17,0.08,0.12,,0.16,0.19,,-14.316,93.286,-65.683,thin ,0.0,0.0,None,0.0,0.0
31540,0.26,-2.78,0.28,0.14,0.35,0.32,0.29,0.26,0.24,0.34,0.26,0.24,0.27,0.26,0.37,0.32,0.19,-5.186,32.611,-17.279,thin ,1.0,2.0,Radial Velocity,0.07,0.96
31552,-0.12,-0.61,,-0.14,-0.38,-0.1,-0.36,-0.26,-0.1,,-0.23,-0.31,,,,,,-2.959,18.551,30.188,thin ,0.0,0.0,None,0.0,0.0
31568,0.13,,,,0.19,0.24,0.2,0.08,0.26,0.36,0.24,0.23,0.28,0.06,0.18,0.08,0.41,-5.174,32.269,16.852,thin ,0.0,0.0,None,0.0,0.0
31575,0.13,-1.73,0.08,0.2,-0.01,0.08,0.09,0.12,0.09,0.2,0.04,0.14,0.14,-0.03,0.17,0.19,0.01,-2.614,16.268,50.738,thin ,0.0,0.0,None,0.0,0.0
31592,0.29,-2.87,0.49,-0.12,0.43,0.3,0.31,0.24,0.14,0.23,0.24,0.46,0.15,0.37,0.36,0.22,0.37,-2.981,18.463,-6.533,thin ,1.0,2.0,Radial Velocity,1.94,1.44
31639,-0.51,,-0.28,,-0.54,-0.23,-0.24,-0.29,-0.39,-0.28,-0.25,-0.33,-0.57,-0.82,-0.34,-0.51,,-9.753,59.487,-28.573,N/A ,0.0,0.0,None,0.0,0.0
31655,0.38,,0.2,0.19,0.54,0.48,0.42,0.37,0.45,0.66,0.37,0.45,0.46,0.44,0.66,0.44,0.52,-6.436,38.952,6.355,thin ,0.0,0.0,None,0.0,0.0
31660,0.17,,0.07,0.13,0.07,0.23,0.18,0.17,0.2,0.25,0.16,0.13,0.16,0.08,0.31,0.11,0.19,-4.243,25.653,5.613,thin ,0.0,0.0,None,0.0,0.0
31661,-0.01,-2.86,-0.18,-0.03,0.12,0.15,0.14,0.08,0.09,0.06,0.06,0.12,0.04,-0.06,0.03,-0.03,0.05,-12.632,76.298,-111.871,N/A ,0.0,0.0,None,0.0,0.0
31674,0.06,-2.81,-0.21,-0.08,-0.02,0.13,0.11,0.09,0.06,0.04,0.08,0.04,0.05,-0.03,0.1,0.04,0.04,-13.357,80.512,-18.819,thin ,1.0,2.0,Radial Velocity,1.75,1.81
31692,-0.32,,-0.18,-0.22,-0.3,-0.19,-0.25,-0.28,-0.23,-0.27,-0.18,-0.22,-0.28,-0.46,-0.29,-0.34,-0.18,-2.086,12.516,-36.711,thin ,0.0,0.0,None,0.0,0.0
31711,-0.13,,0.16,0.0,-0.19,-0.1,,-0.05,-0.15,,0.0,0.1,-0.14,-0.12,,-0.14,,-1.645,9.828,-18.378,thin ,0.0,0.0,None,0.0,0.0
31712,-0.18,-1.11,-0.21,-0.16,-0.19,-0.13,-0.17,-0.17,-0.08,-0.1,-0.08,-0.2,-0.16,-0.4,-0.21,-0.22,,-4.905,29.302,-50.992,thin ,0.0,0.0,None,0.0,0.0
31727,-0.21,,-0.41,-0.27,-0.39,-0.25,-0.34,-0.4,-0.2,,-0.21,-0.27,-0.27,-0.39,,-0.2,-0.01,-27.864,165.312,-70.359,thin ,0.0,0.0,None,0.0,0.0
31765,0.07,,,,0.37,0.06,0.14,0.16,0.12,0.18,0.14,0.14,0.07,0.16,0.1,0.05,,-15.238,89.552,-101.67,thin ,0.0,0.0,None,0.0,0.0
31783,-0.44,-0.71,,,-0.49,-0.32,-0.55,-0.43,-0.37,-0.12,-0.33,-0.37,-0.41,-0.61,-0.39,-0.42,-0.43,-2.135,12.52,49.851,thin ,0.0,0.0,None,0.0,0.0
31831,0.34,,0.38,0.45,0.37,0.34,0.23,0.38,0.32,,0.24,,0.26,0.37,,0.35,,-11.174,64.486,-77.119,N/A ,0.0,0.0,None,0.0,0.0
31895,0.39,,0.36,0.35,0.51,0.39,0.42,0.44,0.38,0.54,0.39,0.5,0.43,0.43,0.56,0.41,,-10.417,59.035,-67.858,thin ,1.0,1.0,Radial Velocity,1.525,1.31
31965,0.1,-2.28,0.06,-0.13,0.08,0.2,0.15,0.02,0.14,0.32,0.09,0.08,0.07,0.0,0.07,0.1,0.3,-4.656,25.867,33.614,thin ,0.0,0.0,None,0.0,0.0
32010,-0.01,-3.93,-0.05,-0.1,-0.19,-0.09,-0.16,0.01,-0.07,,-0.07,-0.07,-0.14,-0.22,,-0.11,-0.22,-2.822,15.506,7.003,thin ,0.0,0.0,None,0.0,0.0
32024,0.13,,0.03,-0.02,0.08,0.12,0.06,0.14,0.08,,0.15,0.08,0.15,,0.07,0.17,,-12.48,68.353,-2.851,thin ,0.0,0.0,None,0.0,0.0
32103,0.28,,0.28,0.07,0.4,0.32,0.32,0.31,0.26,0.38,0.33,0.36,0.31,0.2,0.4,0.36,,-5.003,26.739,-49.533,thin ,0.0,0.0,None,0.0,0.0
32127,-0.62,,-0.37,,-0.5,-0.31,-0.32,-0.43,-0.39,-0.35,-0.25,-0.4,-0.56,-0.93,-0.5,-0.6,,-5.585,29.711,-45.579,N/A ,0.0,0.0,None,0.0,0.0
32190,0.02,,,,0.13,0.06,0.12,-0.01,0.05,0.05,0.03,0.01,,-0.12,,0.02,,-21.087,110.466,85.2,thin ,0.0,0.0,None,0.0,0.0
32222,-0.18,-3.16,-0.32,-0.18,-0.09,0.0,-0.03,-0.09,-0.09,-0.14,-0.1,-0.15,-0.16,-0.32,-0.11,-0.2,-0.14,-7.694,39.94,-134.029,thin ,0.0,0.0,None,0.0,0.0
32235,0.07,,0.03,0.01,0.03,0.19,0.14,0.04,0.13,0.08,0.12,0.11,0.2,0.01,0.07,0.02,0.31,-3.248,16.801,-52.593,thin ,0.0,0.0,None,0.0,0.0
32238,0.19,,0.01,0.07,-0.03,0.07,-0.01,-0.03,0.16,,0.08,0.05,0.15,0.15,,0.17,0.3,-18.738,96.88,33.315,thin ,0.0,0.0,None,0.0,0.0
32243,-0.56,,,,-0.39,-0.21,-0.26,-0.35,-0.34,-0.38,-0.24,-0.32,-0.52,-0.72,-0.38,-0.51,,-20.422,105.325,-51.253,N/A ,0.0,0.0,None,0.0,0.0
32249,-0.09,-3.68,-0.31,-0.02,0.1,0.03,0.05,0.11,-0.08,-0.03,-0.1,-0.21,-0.08,-0.16,0.06,-0.07,-0.01,-16.999,87.475,20.947,thin ,0.0,0.0,None,0.0,0.0
32308,-0.43,,,,-0.57,-0.38,-0.42,-0.39,-0.48,,-0.57,-0.66,-0.63,,,-0.53,,-14.085,71.272,19.344,N/A ,0.0,0.0,None,0.0,0.0
32322,-0.34,-1.01,-0.27,-0.27,-0.42,-0.22,-0.3,-0.31,-0.24,0.02,-0.26,-0.33,-0.37,-0.65,-0.26,-0.38,-0.42,-4.646,23.43,-12.35,thin ,0.0,0.0,None,0.0,0.0
32329,-0.62,,-0.21,-0.67,-0.61,-0.45,-0.76,-0.53,-0.54,-0.08,-0.58,-0.79,-0.79,-0.99,-0.72,-0.77,0.08,-9.069,45.681,17.748,thin ,0.0,0.0,None,0.0,0.0
32366,-0.22,,-0.21,-0.06,-0.27,-0.04,-0.36,-0.18,-0.18,-0.07,-0.22,-0.3,-0.23,-0.41,-0.12,-0.28,-0.13,-4.0,19.937,-12.605,thin ,0.0,0.0,None,0.0,0.0
32423,-0.12,-3.78,-0.3,-0.16,-0.28,-0.23,-0.24,-0.19,-0.19,-0.09,-0.16,-0.01,-0.29,-0.44,-0.26,-0.24,-0.27,-4.347,21.328,13.896,thin ,0.0,0.0,None,0.0,0.0
32431,-0.47,,0.02,,0.15,0.22,,0.07,0.2,,0.02,,-0.06,,0.05,0.03,,-40.375,197.685,87.192,N/A ,0.0,0.0,None,0.0,0.0
32439,-0.1,-0.67,-0.04,-0.01,-0.14,-0.06,-0.17,-0.07,-0.03,-0.06,-0.05,-0.16,-0.13,-0.28,-0.08,-0.15,-0.1,-0.66,3.229,17.897,thin ,0.0,0.0,None,0.0,0.0
32452,-0.78,,,,-0.57,-0.41,-0.52,-0.58,-0.49,,-0.48,-0.64,-0.56,,,-0.74,,-32.688,159.404,-96.786,thin ,0.0,0.0,None,0.0,0.0
32480,0.11,-0.73,0.08,0.06,0.05,0.14,0.06,0.11,0.18,0.2,0.13,0.05,0.14,-0.03,0.18,0.11,0.12,-2.438,11.789,11.455,thin ,0.0,0.0,None,0.0,0.0
32489,-0.04,-3.1,-0.26,-0.04,0.02,0.01,0.01,0.02,0.02,-0.01,0.02,-0.03,-0.06,-0.06,0.02,-0.03,0.04,-7.256,35.017,55.425,thin ,0.0,0.0,None,0.0,0.0
32562,-0.13,-3.18,,,0.14,0.14,,0.07,0.15,,0.07,0.07,0.06,,0.05,0.06,,-18.919,89.659,104.634,thin ,0.0,0.0,None,0.0,0.0
32567,-1.42,-0.86,,-1.03,-1.6,-1.07,,-1.13,-0.98,,-1.13,,-1.4,-1.73,-1.41,-1.43,-1.39,-16.635,78.687,131.982,N/A ,0.0,0.0,None,0.0,0.0
32608,0.19,,,,0.24,0.26,0.3,0.18,0.29,0.61,0.23,0.18,0.22,0.08,0.37,0.16,0.76,-15.346,71.9,0.391,thin ,0.0,0.0,None,0.0,0.0
32673,0.12,-2.24,0.05,0.05,0.17,,0.01,0.03,0.03,,0.01,0.01,0.02,-0.04,0.03,0.15,,-6.832,31.536,24.764,thin ,0.0,0.0,None,0.0,0.0
32742,0.12,,0.12,0.12,0.14,0.12,0.09,0.13,0.11,,0.12,0.11,0.12,0.08,0.14,0.12,,-18.556,84.191,-30.332,thin ,0.0,0.0,None,0.0,0.0
32768,0.02,-3.29,-0.14,-0.06,0.3,0.21,0.23,0.27,0.1,-0.05,0.0,0.15,0.08,0.06,0.06,0.04,-0.07,-7.393,33.393,-41.659,thin ,0.0,0.0,None,0.0,0.0
32769,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,Radial Velocity,0.01535,0.69
32812,0.03,,0.02,,0.19,-0.2,0.15,0.04,0.05,0.32,0.23,0.51,0.02,-0.08,0.16,0.05,,-7.391,33.064,-41.907,N/A ,0.0,0.0,None,0.0,0.0
32813,-0.15,,,,0.02,-0.04,-0.03,-0.01,-0.05,-0.02,-0.04,-0.03,-0.11,-0.33,-0.03,-0.14,,-12.579,56.252,-158.251,N/A ,0.0,0.0,None,0.0,0.0
