HIP,EXO,Multi,discoverymethod
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Radial Velocity
HIP 16069,1,2,Transit
HIP 16069,1,2,Transit
HIP 16069,1,2,Transit
HIP 1475,2,2,Radial Velocity
HIP 1475,2,2,Radial Velocity
HIP 1475,2,2,Radial Velocity
HIP 1475,2,2,Radial Velocity
HIP 19165,1,1,Radial Velocity
HIP 19394,1,3,Radial Velocity
HIP 19394,1,3,Radial Velocity
HIP 19394,1,3,Radial Velocity
HIP 22627,1,1,Radial Velocity
HIP 22627,1,1,Radial Velocity
HIP 22627,1,1,Radial Velocity
HIP 22762,1,3,Radial Velocity
HIP 22762,1,3,Radial Velocity
HIP 22762,1,3,Radial Velocity
HIP 22762,1,3,Radial Velocity
,1,2,Radial Velocity
,1,2,Radial Velocity
HIP 34785,1,1,Radial Velocity
HIP 29295,2,2,Radial Velocity
HIP 29295,2,2,Radial Velocity
HIP 29295,2,2,Radial Velocity
HIP 29295,2,2,Radial Velocity
HIP 29295,2,2,Radial Velocity
HIP 31300,1,1,Transit
HIP 31300,1,1,Transit
HIP 33226,1,1,Radial Velocity
HIP 3143,1,1,Radial Velocity
HIP 36208,1,2,Radial Velocity
HIP 36208,1,2,Radial Velocity
HIP 1292,2,1,Radial Velocity
HIP 5812,1,1,Radial Velocity
HIP 6365,1,1,Transit
HIP 6365,1,1,Transit
HIP 10037,1,3,Radial Velocity
HIP 10037,1,3,Radial Velocity
HIP 10037,1,3,Radial Velocity
,1,2,Radial Velocity
,1,2,Radial Velocity
,1,2,Radial Velocity
,1,2,Radial Velocity
,1,2,Radial Velocity
,1,2,Radial Velocity
,1,2,Radial Velocity
,1,2,Radial Velocity
HIP 15799,2,1,Radial Velocity
HIP 43790,1,2,Radial Velocity
HIP 43790,1,2,Radial Velocity
HIP 43790,1,2,Radial Velocity
,1,4,Radial Velocity
,1,4,Radial Velocity
,1,4,Radial Velocity
,1,4,Radial Velocity
,1,4,Radial Velocity
,1,4,Radial Velocity
,1,2,Radial Velocity
,1,2,Radial Velocity
,1,1,Radial Velocity
HIP 120005,2,1,Radial Velocity
HIP 120005,2,1,Radial Velocity
,1,1,Radial Velocity
,1,1,Radial Velocity
,1,1,Radial Velocity
,1,1,Radial Velocity
,1,1,Radial Velocity
,1,1,Radial Velocity
,1,1,Radial Velocity
,1,1,Radial Velocity
,1,1,Radial Velocity
,1,1,Radial Velocity
,1,1,Radial Velocity
,2,2,Transit
,2,2,Transit
,2,2,Radial Velocity
,1,2,Radial Velocity
,1,2,Radial Velocity
,1,2,Radial Velocity
HIP 47103,1,3,Transit
HIP 47103,1,3,Transit
HIP 47103,1,3,Transit
HIP 47103,1,3,Transit
HIP 47103,1,3,Radial Velocity
HIP 47103,1,3,Radial Velocity
,1,1,Radial Velocity
