HIP_num,Exo,Multi,discoverymethod,MaxPMass,StarMass
,1,1,Transit,,0.41
,1,1,Transit,,
,1,1,Transit,,
,1,2,Transit,,0.71
,1,2,Transit,,
,1,2,Transit,,
,1,2,Transit,,
,1,2,Transit,,0.83
,1,1,Transit,,0.61
,1,1,Transit,,
,1,1,Transit,,0.59
,1,1,Transit,,0.66
,1,1,Transit,,0.59
,1,1,Transit,,0.62
,1,1,Transit,,1.17
,1,1,Transit,,1.18
,1,1,Transit,,1.16
,1,1,Transit,,
,1,1,Transit,,
,1,1,Transit,0.08495,1.18
,1,1,Transit,,
,1,1,Transit,,1.16
,1,1,Transit,,
,1,1,Transit,,
,1,2,Transit,,
,1,2,Transit,,0.83
,1,2,Transit,,0.83
,1,2,Transit,,0.83
,1,2,Transit,,
,1,2,Transit,,0.83
,1,1,Transit,,1.11
,1,1,Transit,,
,1,1,Transit,,0.91
,1,2,Transit,,0.95
,1,2,Transit,,
,1,2,Transit,,0.99
,1,2,Transit,,
,1,2,Transit,,1.13
,1,2,Transit,,1.13
,1,2,Transit,,
,1,2,Transit,,0.99
,1,2,Transit,,
,1,2,Transit,,
,1,2,Transit,,
,1,2,Transit,,
,1,2,Transit,,0.72
,1,2,Transit,,0.69
,1,2,Transit,,0.72
,1,2,Transit,,0.69
,1,1,Transit,,
,1,2,Transit,,
,1,2,Transit,,
,1,2,Transit,,0.94
,1,2,Transit,0.02583,0.95
,1,2,Transit,,0.93
,1,2,Transit,,0.97
,1,2,Transit,,0.97
,1,2,Transit,,
,1,2,Transit,0.0263,0.94
,1,2,Transit,0.02429,0.9
,1,2,Transit,0.02832,0.92
,1,2,Transit,,
,1,2,Transit,,
,1,2,Transit,,
,1,2,Transit,,
,1,2,Transit,,0.97
,1,2,Transit,,
,1,2,Transit,,0.93
,1,2,Transit,,0.97
,1,2,Transit,0.028,0.95
,1,2,Transit,0.01793,0.92
,1,2,Transit,0.01825,0.94
,1,1,Transit,,
,1,1,Transit,,0.42
,1,1,Transit,,
,1,1,Transit,,1.07
,1,1,Transit,0.03272,0.97
,2,1,Transit,3,1.32
,2,1,Transit,,1.32
,2,1,Transit,,
,1,1,Transit,13,0.9
,1,3,Transit,0.02753,1.05
,1,3,Transit,0.04616,1.05
,1,3,Transit,0.03203,1.05
,1,1,Imaging,16,0.05
,1,1,Imaging,19,
,1,1,Imaging,26,
,1,2,Radial Velocity,0.00787,0.3
,1,2,Radial Velocity,0.0118,0.3
,1,1,Transit,,
,1,1,Transit,,
,1,1,Transit,,0.29
,1,1,Transit,0.01259,0.3
,1,1,Transit,0.03681,0.29
,1,2,Radial Velocity,0.0034,0.12
,1,2,Radial Velocity,0.00428,0.12
,1,3,Radial Velocity,0.00431,0.12
,1,3,Radial Velocity,0.00547,0.12
,1,3,Radial Velocity,0.00516,0.12
,1,2,Transit,0.0051,0.18
,1,2,Transit,0.00578,0.19
,1,2,Transit,,0.18
,1,2,Transit,,
,1,2,Transit,0.00497,
,1,2,Transit,0.00522,0.18
,1,2,Transit,0.00513,0.18
,1,2,Radial Velocity,0.00831,0.18
HIP 57050,1,2,Radial Velocity,0.298,0.34
HIP 57050,1,2,Radial Velocity,0.339,0.37
HIP 57050,1,2,Radial Velocity,0.30425,0.34
HIP 57050,1,2,Radial Velocity,0.26,0.37
HIP 57050,1,2,Radial Velocity,0.21414,0.34
,1,1,Radial Velocity,0.03341,0.16
,1,1,Transit,,0.16
,1,1,Transit,0.02,0.16
,1,1,Transit,0.02,0.16
,1,1,Transit,0.02571,0.18
,1,1,Transit,,0.16
,1,1,Transit,0.02646,0.18
,1,1,Transit,,0.18
,1,1,Transit,,
,1,1,Transit,,0.18
,1,1,Transit,,0.18
,1,1,Transit,0.02004,0.15
,1,1,Transit,0.021,0.16
,1,1,Transit,,
,1,1,Transit,,
,1,1,Transit,,0.16
,1,1,Transit,,0.18
,1,1,Transit,,
,1,1,Transit,0.0197,0.15
,1,1,Transit,,
,1,1,Transit,,
,1,1,Transit,0.00658,0.38
,1,1,Transit,0.00415,0.38
,1,1,Transit,0.00415,0.38
,1,1,Transit,,0.38
,1,1,Transit,,0.38
,1,1,Radial Velocity,0.02328,0.18
HIP 16069,1,2,Transit,0.09637,0.76
HIP 16069,1,2,Transit,,
HIP 16069,1,2,Transit,0.07142,0.73
HIP 1475,2,2,Radial Velocity,0.01683,0.38
HIP 1475,2,2,Radial Velocity,0.00953,0.38
HIP 1475,2,2,Radial Velocity,0.0171,0.4
HIP 1475,2,2,Radial Velocity,0.11327,0.38
HIP 19165,1,1,Radial Velocity,0.03209,0.69
HIP 19394,1,3,Radial Velocity,0.03335,
HIP 19394,1,3,Radial Velocity,0.0214,
HIP 19394,1,3,Radial Velocity,0.0925,
HIP 22627,1,1,Radial Velocity,0.752,0.39
HIP 22627,1,1,Radial Velocity,0.95,0.36
HIP 22627,1,1,Radial Velocity,0.82,0.36
HIP 22762,1,3,Radial Velocity,0.02611,0.43
HIP 22762,1,3,Radial Velocity,0.02042,0.43
HIP 22762,1,3,Radial Velocity,0.02014,0.43
HIP 22762,1,3,Radial Velocity,0.02379,0.43
,1,2,Radial Velocity,0.015,0.96
,1,2,Radial Velocity,12.803,0.96
HIP 34785,1,1,Radial Velocity,0.05097,0.62
HIP 29295,2,2,Radial Velocity,0.02287,0.58
HIP 29295,2,2,Radial Velocity,0.027,0.51
HIP 29295,2,2,Radial Velocity,0.02667,0.58
HIP 29295,2,2,Radial Velocity,0.047,0.51
HIP 29295,2,2,Radial Velocity,0.10068,0.58
HIP 31300,1,1,Transit,,0.42
HIP 31300,1,1,Transit,,
HIP 33226,1,1,Radial Velocity,0.01259,0.36
HIP 3143,1,1,Radial Velocity,0.0409,0.53
HIP 36208,1,2,Radial Velocity,0.00909,0.29
HIP 36208,1,2,Radial Velocity,0.00371,0.29
HIP 1292,2,1,Radial Velocity,3.37,0.9
HIP 5812,1,1,Radial Velocity,0.0258,0.47
HIP 6365,1,1,Transit,0.01051,0.52
HIP 6365,1,1,Transit,,
HIP 10037,1,3,Radial Velocity,0.0056,0.68
HIP 10037,1,3,Radial Velocity,0.01315,0.68
HIP 10037,1,3,Radial Velocity,0.03304,0.68
,1,2,Radial Velocity,1.853,0.45
