HIP_num,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_x,f_y,f_z,f_disk
HIP 68581 ,0.13,,,,0.24,0.13,0.23,0.05,0.12,0.03,0.2,0.33,0.03,0.33,0.28,-0.06,,-103.394,-61.135,-62.341,thin 
HIP 68586 ,0.31,,0.3,0.2,0.33,0.25,0.22,0.31,0.26,,0.28,0.29,0.3,,0.32,0.38,,-24.72,-14.624,-77.186,thin 
HIP 68590 ,0.01,,,,0.02,0.07,0.03,0.04,0.03,,0,-0.1,-0.03,,0.07,-0.03,,-252.275,-149.323,282.99,N/A 
HIP 68593 ,0.05,-0.59,0.06,0.05,-0.05,0.03,-0.11,0.02,0.11,0.18,0.03,-0.09,0.03,-0.14,0.06,0.01,0.07,-28.945,-17.14,20.744,thin 
HIP 68594 ,-2.66,,-2.94,-1.72,-2.65,-2.18,-0.45,-2.33,-2.42,-2.52,-2.52,-2.86,-2.97,-2.86,-2.5,-2.64,-2.72,-247.416,-146.512,49.079,thick 
HIP 68598 ,-0.3,,-0.17,,-0.27,-0.29,-0.2,-0.27,-0.22,-0.26,-0.13,-0.12,-0.26,-0.46,-0.29,-0.33,,-29.724,-17.604,-45.258,thin 
HIP 35846 ,-0.08,-1.93,-0.22,-0.34,-0.06,0.06,0.03,0.04,0.06,-0.11,-0.02,-0.06,0.02,-0.16,-0.02,-0.06,-0.04,-18.158,47.629,23.824,thin 
HIP 101382 ,-0.62,,,,-0.5,-0.4,-0.14,-0.28,-0.48,,-0.4,-0.56,-0.8,,,-0.6,,9.726,-12.352,14.106,thin 
HIP 68619 ,0.06,,0.14,0.17,0.09,0.12,0.04,0.08,0.08,0.14,0.06,-0.01,0.05,-0.09,0.06,0.05,0.09,-65.014,-38.6,4.685,thin 
HIP 3086 ,-0.06,-2.07,-0.02,0.03,-0.15,0.05,-0.02,-0.05,-0.05,0.2,0.02,-0.08,-0.09,-0.33,-0.01,-0.12,0.06,42.718,7.383,2.374,thick 
2MASS 19565383+4020354 ,0.06,,0.05,0.03,-0.03,0.02,0.03,0.01,0.12,,0.01,0.06,0.07,-0.01,,0.02,-0.04,295.351,-527.943,513.813,N/A 
HIP 3092 ,0.16,-3.11,,0.01,0.58,0.43,0.66,0.29,0.33,0.1,0.2,0.48,0.26,0.29,0.29,0.24,0.03,28.235,4.893,17.124,thin 
HIP 3093 ,0.19,-3.58,0.29,0.02,0.2,0.19,0.32,0.18,0.17,0.33,0.21,0.21,0.19,0.15,0.37,0.22,0.06,10.201,1.77,4.026,thin 
HIP 101399 ,0.23,,0.19,0.18,0.26,0.22,0.2,0.22,0.2,0.27,0.27,0.28,0.23,0.16,0.32,0.28,0.28,16.037,-20.342,-49.752,thin 
HIP 68634 ,-0.05,,-0.11,0.05,-0.05,-0.07,-0.14,0.03,-0.02,,-0.07,-0.1,-0.1,-0.32,-0.18,-0.05,0.01,-22.063,-13.119,6.866,thin 
HIP 35872 ,0.21,,,,0.11,0.06,0.12,0.2,0.08,,0.14,-0.04,-0.04,-0.2,0,0.06,,-8.366,21.855,5.387,thin 
HIP 3119 ,0.17,,0.19,0.19,0.05,0.16,0.01,0.12,0.21,0.32,0.16,0.09,0.15,0.03,0.3,0.14,0.21,49.011,8.571,10.152,thin 
HIP 68662 ,-0.6,,-0.32,-0.1,-0.67,-0.29,-0.5,-0.35,-0.43,-0.33,-0.39,-0.54,-0.66,-0.93,-0.4,-0.55,,-120.277,-71.798,390.964,N/A 
2MASS 19024607+4541218 ,-0.41,,-0.39,-0.42,-0.53,-0.41,-0.48,-0.48,-0.42,,-0.35,-0.41,-0.43,-0.52,,-0.4,-0.4,118.913,-423.273,450.368,N/A 
HIP 101434 ,-0.17,,,,-0.02,0.19,-0.05,0.12,-0.06,0.15,0,0.08,-0.06,-0.17,0.11,0.08,,57.481,-72.643,250.042,N/A 
HIP 3132 ,-0.29,-0.97,0.09,-0.01,-0.27,-0.04,-0.32,-0.14,-0.08,0.25,-0.2,-0.26,-0.06,-0.42,-0.24,-0.22,-0.36,4.227,0.741,32.572,thin 
HIP 35902 ,0.16,,-0.03,,0.34,0.22,0.36,0.17,0.28,0.71,0.39,0.7,0.13,-0.01,0.38,0.17,,-11.835,30.801,-27.732,thin 
HIP 101438 ,-0.16,,-0.4,-0.25,-0.24,-0.11,-0.26,-0.06,-0.19,-0.01,-0.21,-0.1,-0.15,-0.38,-0.14,-0.17,,133.805,-169.06,284.09,thin 
HIP 3142 ,-0.34,,,-0.37,-0.39,-0.25,-0.35,-0.34,-0.28,-0.2,-0.33,,-0.41,-0.64,-0.25,-0.42,-0.47,34.338,6.049,-23.484,thin 
HIP 101446 ,-0.04,,-0.29,-0.25,-0.3,-0.1,-0.2,-0.23,-0.04,,-0.1,-0.14,-0.07,-0.16,,-0.06,0.19,81.173,-102.398,2.895,thin 
HIP 68682 ,0.04,,0.2,-0.04,0,0.04,0.02,0.02,0.06,0.08,0.01,0,0.01,-0.01,0.07,0.03,0,-12.887,-7.708,2.861,thin 
2MASS 03440484+2416318 ,0.12,,0,0.02,-0.12,-0.05,-0.13,0,0.21,,0.09,0.12,0.08,-0.01,,0,0.14,69.599,103.264,56.163,N/A 
2MASS 19121853+4052397 ,-0.16,,0.3,,0.04,-0.08,,0.08,-0.06,-0.1,-0.22,-0.25,-0.37,-0.14,0.54,-0.15,0,68.225,-209.016,190.307,N/A 
HIP 101467 ,-0.1,-3.12,-0.32,-0.18,-0.02,0.09,-0.01,-0.05,-0.06,-0.12,-0.11,-0.11,-0.12,-0.2,-0.07,-0.12,-0.3,44.486,-56.022,63.9,thin 
2MASS 19530436+4115059 ,-0.12,,-0.09,-0.14,-0.28,-0.11,-0.36,-0.18,-0.09,,-0.06,-0.07,-0.11,-0.4,,-0.13,-0.1,147.203,-273.75,272.596,N/A 
HIP 3169 ,0.03,,0,0.08,-0.05,-0.02,-0.09,0,0.06,,0.05,0.05,0.03,-0.19,,-0.02,0.06,63.75,11.358,-8.705,thin 
HIP 3170 ,-0.24,-0.88,-0.15,-0.12,-0.24,-0.13,-0.25,-0.2,-0.14,-0.13,-0.18,-0.32,-0.24,-0.47,-0.23,-0.26,-0.37,12.635,2.252,-21.749,thin 
HIP 101477 ,-0.01,,,,0.17,-0.01,0.04,0.09,0.04,0.07,0.02,0.08,0.01,0.26,0.02,-0.02,,35.299,-44.409,-55.779,thin 
HIP 3174 ,0.2,,0.26,0.06,0.29,0.37,0.29,0.2,0.18,0.31,0.18,0.14,0.21,0.2,0.26,0.22,0.19,70.816,12.632,21.417,N/A 
HD 183954 ,0.17,,0.36,,0.77,0.2,0.27,0.16,0.49,,,0.4,,0.3,1.06,0.31,,84.636,-204.91,241.12,N/A 
HIP 3181 ,-0.15,,-0.11,,-0.14,-0.09,-0.07,-0.13,-0.06,-0.11,-0.04,-0.1,-0.12,-0.35,-0.14,-0.17,,43.091,7.697,-22.57,thin 
HIP 3182 ,-0.25,,,0.07,-0.36,-0.04,-0.13,-0.14,-0.17,-0.02,-0.09,-0.17,-0.27,-0.54,-0.04,-0.25,-0.3,55.139,9.856,-32.168,thin 
HIP 3185 ,-0.55,-2.6,-0.25,-0.09,-0.45,-0.24,-0.29,-0.33,-0.31,-0.38,-0.27,-0.47,-0.54,-0.92,-0.4,-0.53,-0.42,25.616,4.58,-11.48,thick 
HIP 68727 ,-0.66,,,-0.43,-0.63,-0.52,,-0.64,-0.55,-0.55,-0.65,,-0.76,,-0.39,-0.72,-0.81,-86.487,-52.028,-39.379,thin 
BD+38 3583 ,-0.16,,-0.16,-0.17,-0.3,-0.11,-0.22,-0.18,-0.15,-0.15,-0.13,-0.13,-0.17,-0.34,-0.12,-0.16,-0.16,27.297,-69.59,59.828,N/A 
HIP 68737 ,0.12,,,,0.22,0.13,0.15,0.15,0.12,,0.04,-0.04,0.08,,0.16,0.11,,-228.393,-137.52,202.342,N/A 
2MASS 18550337+4213198 ,0.11,,0.08,0.15,-0.02,0.1,0.02,0.12,0.1,,0.08,0.13,0.1,0.03,,0.13,0.2,118.133,-482.255,450.56,N/A 
HIP 3203 ,-0.02,-0.83,-0.08,-0.04,-0.15,-0.05,-0.12,-0.09,-0.01,-0.04,-0.04,-0.11,-0.04,-0.2,-0.09,-0.14,0.07,25.819,4.645,-3.329,thin 
HIP 68740 ,0.08,,,,0.2,0.28,0.34,0.18,0.14,0.1,0.09,0.2,0.12,0.08,0.08,0.11,-0.03,-280.28,-168.814,-213.339,N/A 
HIP 68739 ,0.17,-3.47,-0.01,-0.09,0.53,0.51,0.53,0.51,0.29,0.11,0.26,0.36,0.39,0.17,0.33,0.28,0.13,-82.769,-49.852,-9.102,thin 
HIP 3206 ,0.16,-3.29,0.15,0.08,0.2,0.26,0.25,0.16,0.15,0.39,0.15,0.3,0.19,0.03,0.43,0.18,0.03,13.453,2.422,11.546,thick 
HIP 101507 ,0.07,,,,0.08,0.15,0.1,0.06,0.16,0.57,0.17,0.05,0.09,-0.02,0.2,0.04,0.18,20.342,-25.528,-7.97,thin 
HIP 35985 ,0.01,,0.01,,0.06,0.01,0.08,0,0.02,0.11,0.12,0.32,0.03,-0.09,0.04,0,,-13.875,35.7,-30.305,thin 
HIP 35989 ,-0.26,,-0.03,0.05,-0.35,-0.22,-0.39,-0.06,-0.2,,-0.18,-0.11,,-0.43,-0.18,-0.21,,-11.985,30.823,34.365,thick 
HIP 35992 ,0.02,,-0.04,,0.14,0.19,0.1,0.04,0.05,0.11,0.12,0.38,0.02,-0.08,0.08,0.02,,-13.893,35.725,-30.326,thin 
HIP 68763 ,0.06,-2.65,-0.12,-0.16,0.32,0.16,0.33,0.4,0.2,0.05,0.04,0.03,0.17,0.04,0.12,0.17,0.03,-106.729,-64.414,-33.337,thin 
HIP 3231 ,-0.08,-2.56,-0.34,-0.36,0.04,0.05,0.05,0,0.01,-0.11,-0.09,-0.19,-0.06,-0.28,-0.1,-0.16,0,79.859,14.484,66.806,thin 
HIP 3236 ,0.14,,0.1,0.1,0.01,0.15,-0.02,0.1,0.19,0.28,0.12,0.11,0.12,-0.03,0.3,0.07,0.24,32.418,5.891,5.428,thin 
HIP 3245 ,0.18,-2.73,-0.07,0.13,0.32,0.23,0.17,0.2,0.23,0.16,0.19,0.24,0.19,0.12,0.2,0.15,0.27,50.944,9.287,-53.783,thin 
HIP 101550 ,-0.34,,-0.07,0.09,-0.23,0.03,-0.21,-0.12,-0.18,-0.01,-0.16,-0.1,-0.18,-0.41,-0.1,-0.14,,16.439,-20.524,187.374,thin 
HD 224635 ,0.07,,,,0.03,0.18,0.01,0.05,0.18,0.72,0.16,0.11,0.11,-0.05,0.16,-0.01,0.36,24.496,-0.055,16.352,N/A 
2MASS 19351124+4509386 ,0.09,,-0.13,-0.2,-0.11,0.02,0,-0.06,0.07,,0.05,0.02,0.06,0.02,,0.09,0.07,306.625,-695.315,764.198,N/A 
HIP 3249 ,-0.45,,-0.69,,-0.04,-0.51,0,-0.49,-0.09,0.5,0.08,0.38,-0.3,-0.98,-0.27,-0.4,,32.963,6.021,-7.842,thin 
HIP 68796 ,-0.49,-1.43,,0.28,-0.5,-0.39,-0.49,-0.44,-0.43,,-0.41,-0.6,-0.5,,,-0.51,-0.6,-9.644,-5.849,40.874,thin 
HIP 68799 ,0.1,,,,0.06,0.08,0.06,0.02,0.09,0.11,0.06,0.09,0.02,-0.06,0.07,0,,-43.668,-26.492,1.739,N/A 
HIP 68805 ,0.19,,0.13,0.09,-0.06,0.11,0.03,0.12,0.2,,0.13,0.17,0.2,0.03,,0.15,0.3,-43.432,-26.401,-8.094,thin 
HIP 68807 ,-1.66,,-2.07,-1.21,-1.92,-1.39,,-1.47,-1.45,,-1.57,-1.9,-1.93,-2.03,-1.78,-1.84,-1.97,-312.504,-190.037,-97.025,thick 
HIP 3272 ,-0.39,-0.75,-0.21,-0.19,-0.37,-0.29,-0.38,-0.26,-0.3,,-0.32,-0.45,,-0.71,-0.41,-0.42,,51.462,9.468,19.187,thin 
HIP 36041 ,-0.1,-3.13,,,,-0.13,,-0.15,,,,,,,,,,-76.265,194.483,34.12,thin 
HIP 36042 ,0.09,,,,0.19,-0.05,0.13,0.18,0.15,,0.12,,0.02,,,0.12,,-122.334,311.962,44.478,N/A 
HIP 101579 ,-0.1,,-0.08,-0.11,-0.18,-0.05,-0.1,-0.06,-0.03,,-0.06,-0.01,-0.09,-0.25,,-0.06,-0.31,18.798,-23.377,3.22,thin 
HIP 101578 ,-0.26,,-0.2,-0.05,-0.24,-0.18,-0.29,-0.2,-0.05,-0.04,-0.17,-0.06,-0.11,-0.34,-0.15,-0.13,,25.625,-31.877,78.463,thin 
HIP 36046 ,-0.03,-3.14,-0.2,-0.1,0.04,0.16,0.17,0.05,0.02,-0.06,-0.05,-0.06,0,-0.1,-0.02,-0.04,-0.09,-12.982,33.071,18.73,thin 
HIP 68825 ,-0.07,,,,0.03,0.08,0.01,0.12,-0.02,0.15,-0.02,0.09,0.03,-0.13,0.09,0.09,,-46.831,-28.56,200.72,thick 
HIP 68828 ,0.12,,,,0.18,0.15,0.09,0.11,0.17,,0.07,-0.03,0.08,,0.1,0.03,,-180.308,-110.054,206.433,N/A 
HIP 101597 ,-0.1,,-0.2,-0.12,-0.22,-0.17,-0.24,-0.14,-0.13,,-0.13,-0.11,-0.2,-0.39,,-0.18,-0.14,25.265,-31.357,8.088,thin 
HIP 101602 ,-0.53,,-0.43,-0.13,-0.47,-0.18,-0.38,-0.32,-0.26,-0.22,-0.29,-0.35,-0.41,-0.71,-0.33,-0.41,,31.944,-39.631,137.458,N/A 
HIP 3299 ,-0.11,-2.01,-0.27,-0.37,-0.02,,,-0.03,-0.13,-0.19,-0.2,-0.14,-0.25,-0.4,-0.14,-0.26,,67.193,12.471,154.566,thin 
HIP 36071 ,0.06,,-0.03,0.02,-0.08,-0.06,-0.14,0.06,,,0.1,-0.08,0.05,,-0.13,0.03,,-12.373,31.428,-1.326,thin 
HIP 101612 ,-0.05,,0.2,0.38,0.24,-0.01,0.19,-0.15,-0.03,0.19,0.01,0.95,-0.1,-0.02,0.39,-0.09,0.22,8.752,-10.848,-24.718,thin 
HD 152791 ,-0.66,,-0.54,-0.43,-0.62,-0.43,-0.64,-0.53,-0.42,-0.35,-0.51,-0.5,-0.56,-0.88,-0.47,-0.54,,-63.184,-208.389,306.182,N/A 
HIP 3311 ,0.09,,0.14,-0.06,0.07,0.12,0.07,0.05,0.1,0.14,0.1,0.06,0.09,0.04,0.11,0.08,0.19,47.578,8.853,-2.584,thin 
HIP 36081 ,0.02,,0.05,,-0.04,,-0.05,0.02,-0.04,,0.03,-0.04,,,-0.03,0.02,,-19.236,48.796,-14.709,thin 
HIP 101620 ,-0.12,,,,-0.11,-0.02,-0.24,-0.08,-0.05,0.49,-0.01,-0.04,-0.02,-0.28,0.31,-0.12,0.3,34.748,-43.019,3.191,thin 
HD 175289A ,0.04,,-0.02,0.16,-0.12,-0.03,-0.14,0.03,0.1,,0.05,-0.04,0.06,-0.24,,-0.03,0.06,23.567,-100.87,104.094,N/A 
2MASS 19215162+4819560 ,-0.08,,-0.06,-0.12,-0.26,-0.06,-0.13,-0.06,-0.06,,-0.08,-0.1,-0.07,-0.22,,-0.07,-0.12,84.558,-226.581,271.748,N/A 
HIP 101631 ,-0.26,,-0.11,,-0.22,-0.15,-0.28,-0.25,-0.21,-0.38,-0.16,-0.22,-0.28,-0.4,-0.24,-0.3,,6.07,-7.501,-47.298,thin 
2MASS 18541567+4654153 ,0.08,,0.03,-0.08,0.03,0.04,-0.02,0.07,0.08,,0.07,0.09,0.09,-0.02,,0.09,-0.01,61.054,-253.038,278.204,N/A 
HIP 3342 ,0.06,-0.87,-0.02,,0,-0.02,-0.15,0.03,0.15,0.11,0.14,0.12,0.07,-0.16,-0.05,-0.01,,56.123,10.554,-17.136,thin 
2MASS 19392772+4617090 ,0.1,,-0.04,-0.25,-0.23,0.1,-0.15,0.07,0.07,,0.11,0.14,0.16,-0.06,,0.12,0.24,259.55,-560.035,645.601,N/A 
HIP 36114 ,0.1,-2.04,-0.31,-0.21,0.56,0.18,0.19,0.28,0.14,0.15,0.12,0.07,0.19,-0.02,0.15,0.09,0.06,-38.322,96.835,-128.69,thin 
HIP 68895 ,-0.1,-3.01,-0.23,-0.12,0.12,0.16,0.08,0.11,0.05,-0.08,-0.03,0.06,0.01,-0.01,0,-0.02,-0.07,-21.73,-13.365,-12.821,thin 
HIP 36129 ,0.21,,0.14,0.04,0.12,0.15,0.11,0.15,0.16,,0.14,0.19,0.18,0.13,,0.22,0.13,-7.577,19.109,36.402,thin 
BD+16 03263 ,-0.21,,,,-0.09,-0.08,-0.17,-0.19,-0.07,-0.05,-0.03,-0.06,-0.16,-0.34,-0.21,-0.24,,-3.859,-51.441,15.541,N/A 
HIP 68904 ,0.05,,0.28,-0.02,0.26,0.05,0.25,0.14,0.12,0.15,0.18,0.2,0.08,0.28,0.01,0.08,,-70.646,-43.477,49.541,thin 
HD 69582 ,0.29,,,0.34,0.05,,0.08,0.01,0.07,,0.13,-0.04,0.09,-0.1,-0.01,0.02,0.17,-17.655,25.811,-1.698,N/A 
HIP 36152 ,-0.5,-0.84,-0.35,-0.34,-0.44,-0.33,-0.51,-0.34,-0.36,,-0.4,-0.58,,,,-0.5,-0.5,-10.624,26.684,11.334,thin 
HIP 3391 ,0.2,-2.75,0.21,-0.02,0.2,0.18,0.18,0.24,0.18,0.32,0.2,0.01,0.2,0.11,0.32,0.26,0.1,32.373,6.177,-25.733,thin 
HIP 68935 ,-0.06,,,,-0.05,0.04,0.04,-0.05,-0.01,,-0.04,-0.14,-0.09,,0,-0.09,,-95.259,-58.772,77.732,thin 
HIP 101704 ,0.13,,0.45,,,0.32,,0.12,0.11,,0.14,,,,,0.15,,35.995,-44.099,-17.149,N/A 
HIP 68936 ,0.21,,0.38,0.24,0.32,0.36,0.35,0.31,0.2,0.38,0.36,0.5,0.23,0.18,0.41,0.25,0.44,-34.269,-21.142,-3.89,thin 
HIP 68940 ,-0.08,,0.28,0.57,0.15,0.07,-0.06,-0.05,-0.02,0.35,0.09,0.42,-0.12,0.01,0.8,-0.16,-0.08,-47.905,-29.562,-9.232,thin 
HIP 68943 ,-0.07,,-0.25,-0.15,-0.29,-0.15,-0.17,-0.3,-0.09,,-0.1,-0.11,-0.14,-0.11,,-0.03,0.12,-167.239,-103.24,-49.35,thin 
2MASS 19331027+4159513 ,-0.09,,-0.09,-0.03,-0.34,-0.11,-0.19,-0.1,-0.12,,-0.1,-0.1,-0.08,-0.27,,-0.11,-0.11,104.322,-242.316,237.524,N/A 
HIP 101721 ,-0.71,,-0.55,-0.18,-0.66,-0.47,-0.58,-0.49,-0.41,-0.39,-0.51,-0.51,-0.6,-0.94,-0.51,-0.54,,109.302,-133.612,359.658,N/A 
HIP 3418 ,0.02,-3.78,,,,0.24,,0.16,,,0.03,,,,,,,17.241,3.316,11.773,thin 
HIP 3419 ,0.02,-2.9,-0.41,-0.12,0.42,0.11,0.27,0.1,0.12,-0.08,-0.04,-0.04,0.07,-0.06,0.02,0.01,-0.03,27.58,5.31,-9.119,thin 
HIP 68955 ,-0.2,,,,,-0.21,-0.28,-0.12,-0.33,,-0.44,-0.63,-0.38,,,-0.4,-0.46,-124.089,-76.736,79.012,thin 
HIP 101728 ,-0.19,,-0.4,-0.25,-0.16,-0.02,-0.25,-0.07,-0.16,-0.05,-0.24,-0.11,-0.14,-0.37,-0.19,-0.19,,175.076,-213.88,366.436,thin 
HIP 3441 ,-0.5,,-0.03,0.04,-0.46,-0.18,-0.44,-0.23,-0.38,,-0.34,-0.5,,-0.95,-0.39,-0.44,,96.105,18.66,-12.947,thick 
HIP 36210 ,0.07,-3.24,0.11,0.02,0.07,0.14,0.08,0.06,0.08,0.14,0.12,0,0.07,-0.04,0.12,0.07,0.06,-5.218,13.009,-17.56,thin 
HIP 3455 ,0.05,-3.07,-0.22,0.13,0.19,0.22,0.06,0.17,0.1,0.02,0.04,0.06,0.12,0,0.11,0.08,0.11,65.228,12.735,-12.449,thin 
HIP 3456 ,0.06,-3.36,-0.03,0.05,0.24,0.4,0.41,0.24,0.2,0.05,0.2,0.31,0.15,0.06,0.17,0.13,-0.03,75.418,14.729,-60.952,thick 
HIP 101760 ,0.33,,0.33,0.34,0.44,0.31,0.36,0.33,0.3,0.38,0.41,0.54,0.36,0.35,0.42,0.44,,32.856,-40.062,-10.891,N/A 
HIP 101769 ,0.05,-0.25,0.3,0.36,0.2,0.08,-0.09,-0.05,0.12,0.3,0.07,0.18,0.05,-0.02,0.31,0.04,0.07,18.987,-23.126,7.791,thin 
HIP 101770 ,-0.07,,-0.39,-0.03,-0.24,-0.09,-0.28,-0.15,-0.13,-0.11,-0.3,-0.19,-0.22,-0.51,-0.26,-0.3,,133.005,-161.997,348.878,N/A 
HIP 101772 ,-0.04,-2.88,-0.24,-0.14,0.07,0.03,0.05,0.06,0.04,-0.03,-0.05,-0.01,-0.02,-0.14,0.04,-0.05,-0.04,12.536,-15.266,-21.401,thin 
2MASS 12422849-3038235 ,0.27,-2.7,,,0.12,0.08,0.1,0.07,0.23,0.16,0.18,0.19,0.12,-0.03,0.11,0.08,,-137.231,-25.729,-82.703,N/A 
HIP 3479 ,-0.22,,-0.19,-0.21,-0.26,-0.1,-0.17,-0.22,-0.21,-0.12,-0.14,-0.28,-0.24,-0.37,-0.17,-0.24,-0.24,30.019,5.896,-15.263,thin 
HIP 36249 ,0.14,,0.16,0.03,0.18,0.23,0.14,0.13,0.14,0.22,0.14,0.11,0.14,0.07,0.32,0.13,0.14,-10.293,25.525,9.501,thin 
HIP 101785 ,-0.12,-0.8,-0.08,-0.04,-0.27,-0.15,-0.33,-0.21,0,,0.03,0.08,-0.05,-0.4,-0.11,-0.15,,31.703,-38.554,-20.617,thin 
2MASS 18484675+4631224 ,0.08,,0.06,0.16,-0.27,-0.08,-0.34,0.07,0.09,,0.07,0.03,0.09,-0.15,,-0.03,0.16,28.337,-131.121,141.475,N/A 
HIP 3488 ,0.28,,0.25,0.48,0.32,0.22,0.24,0.25,0.18,,0.28,0.27,0.3,,0.28,0.32,,25.888,5.093,-77.364,N/A 
HIP 101794 ,-0.14,,-0.28,-0.1,-0.23,-0.22,-0.23,-0.16,-0.11,0.01,-0.19,-0.09,-0.1,-0.39,-0.19,-0.15,,87.851,-106.76,246.94,thin 
HIP 3497 ,-0.3,-2.24,-0.11,-0.03,-0.2,-0.04,-0.07,-0.15,-0.14,-0.12,-0.07,-0.23,-0.28,-0.59,-0.18,-0.27,-0.34,8.917,1.76,-20.083,thick 
HIP 36269 ,-1.58,-0.99,-1.57,-1.16,-1.71,-1.31,-2.6,-1.52,-1.28,-1.38,-1.33,,-1.68,-2.09,-1.6,-1.68,-1.44,-46.148,114.143,-96.231,thick 
HIP 3502 ,0.42,,0.4,0.15,0.43,0.38,0.42,0.39,0.35,0.52,0.41,0.36,0.38,0.43,0.56,0.44,0.26,74.234,14.661,28.214,thin 
HIP 101806 ,0.26,-1.12,0.32,0.22,0.35,0.32,0.3,0.26,0.27,0.37,0.28,0.23,0.23,0.22,0.36,0.29,,15.769,-19.153,-44.091,thin 
HIP 36272 ,0.2,,0.15,0.06,0.14,0.17,0.14,0.18,0.2,,0.18,0.24,0.2,0.14,,0.23,0.17,-16.798,41.54,26.207,thin 
HIP 36284 ,-0.32,,-0.12,-0.24,,,,-0.36,-0.34,,,,,,,,,-79.409,196.141,33.233,thin 
HIP 36285 ,-0.27,-1.53,,-0.19,-0.3,-0.18,-0.26,-0.28,-0.16,,,,,-0.44,,-0.31,-0.23,-8.286,20.464,18.961,thin 
HIP 69065 ,-0.22,-3.28,,,-0.06,-0.1,-0.04,-0.05,-0.09,-0.07,-0.04,-0.06,-0.15,-0.14,-0.07,-0.17,,-50.677,-31.74,-118.416,thin 
HIP 3533 ,0.26,,0.3,0.22,0.29,0.29,0.25,0.27,0.28,0.41,0.24,0.24,0.28,0.18,0.29,0.35,0.24,9.063,1.806,36.892,thin 
HIP 36302 ,0.25,,0.28,0.25,0.2,0.23,0.19,0.24,0.18,,0.21,0.18,0.22,,0.24,0.3,,-16.248,40.031,-70.6,thin 
HIP 3535 ,0.26,-3.68,0.32,-0.21,0.31,0.23,0.45,0.24,0.25,0.5,0.3,0.44,0.34,0.13,0.61,0.33,0.11,21.903,4.365,0.696,thin 
HIP 69074 ,-0.51,-0.97,-0.49,,-0.4,-0.39,-0.39,-0.45,-0.38,-0.43,-0.35,-0.48,-0.49,-0.75,-0.49,-0.52,,-28.537,-17.893,-46.238,N/A 
HIP 3540 ,0.08,,0.22,0.07,0.05,0.14,-0.04,0.06,0.15,0.16,0.09,0.09,0.12,-0.1,0.07,0.06,0.03,39.916,7.973,0.18,thin 
HIP 36310 ,0.4,,0.46,0.29,,,,0.46,,,,,,,,,,-16.698,41.107,3.222,thin 
HIP 101848 ,-0.11,,-0.13,-0.2,-0.16,-0.06,-0.04,-0.09,-0.06,-0.2,-0.06,-0.12,-0.13,-0.12,-0.15,-0.14,0.1,62.551,-75.646,23.26,thin 
HIP 3550 ,-0.34,,,,-0.51,-0.37,-0.35,-0.43,-0.37,-0.31,-0.33,-0.35,-0.42,-0.6,-0.31,-0.45,,54.344,10.896,14.193,thin 
HIP 101857 ,0.03,,,-0.07,-0.15,0.02,-0.05,-0.01,-0.02,0.07,-0.05,-0.1,-0.02,-0.12,0.03,-0.03,-0.09,13.727,-16.589,-49.612,thick 
HIP 69090 ,-0.11,-0.84,-0.03,-0.05,-0.08,-0.06,-0.14,-0.07,-0.02,-0.03,-0.06,-0.22,-0.13,-0.26,-0.1,-0.12,-0.11,-6.474,-4.063,-28.229,thin 
HIP 36325 ,0.02,-3.38,-0.02,0.01,0.16,0.21,0.29,0.2,-0.01,0.07,0.08,0.1,0.13,0.14,0.24,0.08,0.07,-39.8,97.691,55.037,thin 
HIP 3559 ,-0.18,-0.8,-0.12,-0.06,-0.24,-0.09,-0.2,-0.15,-0.1,-0.14,-0.1,-0.22,-0.21,-0.34,-0.19,-0.21,-0.24,31.122,6.258,-7.259,thin 
HIP 36339 ,0.25,,,,0.35,0.42,0.15,0.27,0.34,1.09,0.41,0.35,0.34,0.07,0.64,0.25,0.65,-33.76,82.748,12.445,thin 
HIP 69107 ,-0.25,-3.18,-0.18,-0.03,-0.14,0.04,0.09,0.04,-0.03,-0.09,-0.06,-0.14,-0.1,-0.22,-0.04,-0.1,-0.27,-59.571,-37.502,118.732,thin 
HIP 101875 ,-0.07,,-0.02,-0.03,-0.17,-0.06,-0.14,-0.08,-0.05,,-0.05,-0.02,-0.1,-0.27,,-0.1,-0.06,13.575,-16.37,16.998,thin 
HIP 3574 ,0.24,,-0.05,0.01,0.09,0.12,0.06,0.06,0.12,0.16,0.13,0.18,0.11,0.21,0.26,0.16,0.3,129.613,26.177,18.219,thin 
HIP 69112 ,-0.36,-3.9,-0.51,-0.12,-0.44,-0.18,-0.34,-0.33,-0.3,-0.2,-0.29,-0.38,-0.42,-0.72,-0.29,-0.4,,-42.509,-26.782,227.519,thin 
HIP 3578 ,0.16,,0.18,0.49,0.18,0.1,0.09,0.14,0.07,,0.14,0.12,0.13,,0.13,0.21,,24.343,4.919,-27.876,thin 
HIP 36347 ,0.01,,-0.19,,0.22,-0.09,0.5,-0.07,0.15,0.54,0.26,0.56,0.03,-0.23,0.1,0,,-13.078,32.026,-15.504,N/A 
HIP 3579 ,-0.34,,-0.25,,-0.2,-0.25,-0.22,-0.3,-0.25,-0.07,-0.12,0.08,-0.3,-0.54,-0.28,-0.33,,17.854,3.609,-44.802,thin 
