HIP_num,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_x,f_y,f_z,f_disk
HIP 48583 ,0.36,,0.35,0.4,0.39,0.39,0.31,0.37,0.28,,0.34,0.36,0.33,0.35,0.48,0.34,,-47.883,29.194,-57.531,thin 
HD 232942 ,0.01,-0.69,-0.05,,-0.15,0.04,-0.04,-0.11,0.02,0.1,0.01,-0.11,-0.06,-0.24,-0.04,-0.02,-0.08,28.359,62.547,87.299,N/A 
HIP 81357 ,-0.03,,,,,0.06,-0.02,0.01,-0.13,,-0.04,-0.3,-0.07,,,-0.04,-0.41,-30.435,-80.225,36.188,thin 
HIP 81358 ,-0.32,,-0.18,-0.21,-0.38,-0.14,-0.26,-0.12,-0.22,-0.08,-0.25,-0.27,-0.38,-0.61,-0.17,-0.27,-0.53,-28.808,-75.954,159.932,thin 
HIP 48594 ,-0.24,,-0.23,,-0.23,-0.19,-0.12,-0.22,-0.19,0.08,0.04,0.28,-0.18,-0.38,-0.13,-0.21,,-13.337,8.126,-25.718,thin 
2MASS 19524862+4455329 ,-0.2,,-0.17,-0.15,-0.37,-0.27,-0.47,-0.22,-0.19,,-0.23,-0.1,-0.24,-0.55,,-0.34,-0.26,185.846,-346.564,392.233,N/A 
HIP 81375 ,0.29,-2.78,0.14,0.01,0.17,0.17,0.21,0.21,0.22,0.23,0.21,0.15,0.19,0.17,0.22,0.25,0.12,-7.187,-19.005,0.09,thin 
HIP 15843 ,-0.2,,,,-0.07,-0.16,-0.22,-0.15,-0.21,-0.02,-0.11,-0.18,-0.2,-0.31,-0.15,-0.16,-0.2,9.19,11.357,51.53,thin 
HIP 114155 ,-0.28,-3.52,-0.44,-0.23,-0.15,-0.07,-0.02,-0.16,0.01,-0.2,-0.18,0.12,-0.1,-0.41,-0.29,-0.48,,144.138,-33.865,70.522,thin 
HIP 114156 ,0.17,,,,-0.33,,,-0.22,,,-0.02,,,,,-0.12,,19.775,-4.646,-8.689,thin 
2MASS 15005005+0207373 ,-0.76,,,,-0.76,-0.44,,-0.59,-0.65,,-0.42,-0.58,-0.89,-0.94,-0.66,-0.77,,-58.405,-58.831,3.079,N/A 
2MASS 19052593+4224234 ,0.01,,0,-0.07,-0.13,-0.01,-0.1,-0.06,0.01,,-0.02,0.04,-0.02,-0.17,,-0.01,0.03,199.909,-681.071,648.287,N/A 
HIP 15861 ,0.21,-3.15,0.08,0.05,0.44,0.43,0.55,0.44,0.31,0.26,0.35,0.47,0.38,0.31,0.39,0.41,0.25,37.464,46.391,27.457,thin 
HIP 15863 ,-0.03,,-0.15,0.06,0.05,,,0.07,0.1,-0.28,0.05,,-0.24,0.17,0.1,0.01,,72.512,89.803,136.881,thin 
HIP 15868 ,0.1,-1.16,0.18,0.15,0.22,0.13,0.14,0.17,0.16,0.17,0.17,0.11,0.09,-0.02,0.13,0.14,,30.742,38.103,-13.719,thin 
HIP 48638 ,0.18,-3.04,0.02,0.16,0.53,0.38,0.52,0.4,0.39,0.35,0.38,0.4,0.4,0.37,0.39,0.37,0.43,-47.883,29.04,101.514,thin 
HIP 81407 ,0.24,,0.34,0.3,0.25,0.18,0.21,0.14,0.16,,0.26,0.46,0.21,,0.24,0.22,,-9.363,-24.909,-23.041,thin 
2MASS 19062613+4153216 ,0.05,,-0.11,-0.21,-0.17,-0.02,-0.07,-0.01,0.07,,0,0.04,0.08,-0.08,,0.04,0.13,130.907,-438.869,410.765,N/A 
HIP 81421 ,0.17,,0.36,0.12,0.31,0.33,0.32,0.24,0.2,0.35,0.23,0.26,0.27,0.25,0.32,0.28,0.38,-14.016,-37.37,0.028,thin 
2MASS 19441297+4549373 ,0.05,,0.06,-0.08,-0.08,0.06,-0.07,0.03,0.05,,0.01,0.04,0.02,-0.04,,0.08,-0.06,243.44,-497.932,570.493,N/A 
HIP 81428 ,-0.31,,-0.16,0.02,-0.25,-0.23,-0.22,-0.19,-0.24,-0.04,-0.23,-0.13,-0.2,-0.46,-0.11,-0.2,,-8.274,-22.094,120.46,thin 
2MASS 18584254+4447516 ,-0.29,,-0.11,-0.05,-0.3,-0.15,-0.12,-0.11,-0.16,,-0.04,-0.29,-0.18,-0.54,,-0.18,-0.08,203.941,-778.633,799.234,N/A 
HIP 15900 ,-0.11,-2.89,-0.44,-0.16,0.2,-0.04,0,0.03,-0.11,-0.09,-0.12,-0.29,-0.08,-0.23,-0.1,-0.15,-0.02,41.564,51.702,10.541,thin 
HIP 81437 ,-0.05,-3.03,-0.32,-0.19,0.04,0.06,0.13,0.16,-0.1,-0.13,-0.04,-0.11,0.1,-0.19,-0.02,-0.04,-0.06,-15.799,-42.259,66.926,thin 
HIP 15904 ,-1.49,,,,,,,-1.48,,,-1.27,,,,,-1.7,,64.887,80.732,22.501,thick 
HIP 114210 ,-0.08,-1.98,-0.01,0.12,-0.08,-0.03,-0.11,-0.04,-0.03,,-0.02,0.07,-0.2,-0.35,-0.03,-0.06,0.1,21.846,-5.068,26.069,thin 
HIP 48680 ,0.01,,0.06,0.07,0.04,0.04,0.11,0.04,0,0.3,0.15,0.43,0.01,-0.17,0.11,0.02,,-32.862,19.802,-12.546,thin 
HIP 81451 ,-0.38,,-0.04,-0.02,-0.71,-0.31,-0.41,-0.34,-0.47,-0.24,-0.44,-0.54,-0.57,-0.96,-0.33,-0.49,-0.67,-48.589,-130.238,252.563,thin 
HIP 114222 ,-0.1,,,,,,-0.06,-0.03,0.05,-0.03,-0.05,-0.03,0.01,,-0.05,-0.11,-0.17,16.539,-3.826,65.113,thin 
HIP 81459 ,-0.03,-1.3,-0.08,0.08,-0.19,0.05,0.04,-0.02,-0.04,0.13,0.05,0.01,-0.07,-0.22,0.1,0,-0.05,-19.514,-52.379,31.847,thin 
HIP 81461 ,-0.46,,,-0.06,-0.46,-0.16,-0.29,-0.28,-0.35,-0.22,-0.26,-0.56,-0.53,-0.72,-0.19,-0.52,-0.53,-21.467,-57.637,-2.623,thick 
HIP 81465 ,-0.08,,-0.22,,0.32,-0.08,0.26,-0.12,0.08,0.71,0.27,0.54,-0.06,-0.27,0.22,0,,-13.986,-37.571,-3.522,N/A 
HIP 114236 ,0.11,-1.21,0.06,0.09,0.09,0.18,0.07,0.11,0.18,0.12,0.14,-0.02,0.09,0.02,0.04,0.09,,24.224,-5.57,-50.135,thin 
HIP 48701 ,-0.5,-1.35,-0.16,-0.12,-0.48,-0.47,-0.61,-0.41,-0.48,,-0.57,-0.63,,-0.72,-0.54,-0.55,,-42.811,25.737,39.141,thin 
HIP 15940 ,-0.41,-1.99,,-0.13,-0.51,-0.19,-0.3,-0.31,-0.28,-0.23,-0.26,-0.38,-0.48,-0.64,-0.21,-0.44,-0.52,39.083,48.805,-16.8,thick 
HIP 114244 ,0.3,,0.26,0.16,0.14,0.2,0.16,0.18,0.21,,0.17,0.19,0.21,0.17,,0.26,0.23,88.54,-20.333,-27.877,thin 
HIP 48711 ,0.22,-1.43,0.2,0.2,0.24,0.22,0.23,0.2,0.24,0.26,0.17,0.13,0.17,0.15,0.24,0.25,0.25,-88.126,52.9,-6.842,thin 
2MASS 19165428+4932535 ,0.15,,0.01,-0.09,-0.17,0.03,-0.06,0.07,0.21,,0.08,0.12,0.15,-0.04,,0.06,0.26,41.383,-118.661,147.391,N/A 
HIP 48718 ,0.16,,0.29,,,0.08,,0.12,0.16,,0.13,,,,,0.15,,-22.197,13.31,-22.33,thin 
2MASS 22050142+0838189 ,-1.15,,,,,-1.07,,-1.19,-1.07,,-0.86,,-1.27,-1.61,,-1.29,,174.605,-95.769,30.255,N/A 
HIP 81497 ,-0.59,,,,-0.47,-0.31,-0.39,-0.39,-0.38,-0.2,-0.39,-0.28,-0.31,-0.65,-0.31,-0.33,,-31.265,-84.461,103.343,thin 
HIP 114265 ,0.01,,0.13,,,-0.08,,-0.01,0.03,,0.09,,,,,0.01,,62.956,-14.384,-52.999,N/A 
HIP 15962 ,-0.05,,-0.13,,-0.02,-0.07,0.48,-0.04,0.02,0.09,0.05,0.32,-0.08,-0.24,-0.03,-0.08,,26.675,33.392,-5.017,N/A 
